model,rmse,mae,r2,loss,time
agr_tmlp_switch_lite_td,0.38876798930339374,0.2795291209782178,0.8639073967933655,0.15114057064056396,0.044327735900878906
hlr_tmlp,0.3891316014940802,0.2813699208056981,0.8636527061462402,0.15142342448234558,0.04155230522155762
excel-former,0.3892782374457616,0.2802567743948927,0.8635499477386475,0.15153758227825165,0.021040916442871094
agr_tmlp_no_res_reg,0.38928602713177196,0.28153523426827576,0.8635444641113281,0.15154364705085754,0.017574071884155273
agr_tmlp,0.38939843389518497,0.2816871068850588,0.8634656667709351,0.1516311764717102,0.018422365188598633
agr_tmlp_no_gate_reg,0.38960712512720747,0.281762745170262,0.8633192777633667,0.15179374814033508,0.017486095428466797
iggpl_cgr_tmlp,0.39173589185586016,0.2803152763467658,0.8618215918540955,0.15345703065395355,0.0344393253326416
ggtm_tmlp,0.3919051849294484,0.27990826607843644,0.8617020845413208,0.15358971059322357,0.025289297103881836
pr_tmlp_residual_no_balance,0.3919100137386465,0.2815599701929088,0.8616986870765686,0.1535934954881668,0.022774219512939453
dpg_cgr_tmlp,0.3920069385501208,0.2809348069507074,0.8616303205490112,0.15366947650909424,0.03465604782104492
sgg_cgr_tmlp,0.3920153202133278,0.2801013553021683,0.8616243600845337,0.15367604792118073,0.039383888244628906
cgr_tmlp_v3,0.3922858889482584,0.2824204227423124,0.8614332675933838,0.15388824045658112,0.031484365463256836
agsi_tmlp,0.39237979674348766,0.28091945875650737,0.8613669276237488,0.1539619266986847,0.036142587661743164
qcal_cgr_tmlp,0.3924454903523533,0.2802072727433078,0.8613204956054688,0.1540134847164154,0.07325339317321777
cgr_tmlp_v2,0.3924573368154392,0.28071507445393706,0.8613121509552002,0.15402278304100037,0.03194141387939453
ggpl_tmlp_gfg,0.39250227038885227,0.28123908862601255,0.8612803816795349,0.1540580838918686,0.03256058692932129
agpl_cgr_tmlp,0.3926178742894875,0.281048651808657,0.8611986637115479,0.15414883196353912,0.08579850196838379
excel_cgr_lite,0.39265741967282364,0.28298225605698946,0.8611707091331482,0.1541798859834671,0.03253507614135742
lar_tmlp,0.3926961452406498,0.2807145082098792,0.8611433506011963,0.15421028435230255,0.035675764083862305
agr_tmlp_softgate,0.39285178691882133,0.2850042241806676,0.8610332012176514,0.15433256328105927,0.020941734313964844
sr_agr_tmlp_lite,0.3929021746709523,0.2828317543468728,0.8609975576400757,0.15437215566635132,0.019731521606445312
agr_tmlp_rex2_guarded_lite,0.39291197838658976,0.2816696129239027,0.8609906435012817,0.15437985956668854,0.03407168388366699
xgboost,0.3930625494163109,0.2788090671528458,0.8608840703964233,0.15449820458889008,0.0036759376525878906
cgr_tmlp,0.3938133112889058,0.2820776960757101,0.8603521585464478,0.15508894622325897,0.03842878341674805
