model,rmse,mae,r2,loss,time
catboost,0.06584898308870417,0.0205208651167985,0.9957492270235951,0.0043360885738164484,0.0020444393157958984
agr_tmlp,0.07172202229566342,0.027168117463588715,0.9949571490287781,0.005144048482179642,0.013882160186767578
baseline_tmlp,0.07211011185688035,0.024434663355350494,0.9949024319648743,0.005199868697673082,0.01004791259765625
agr_tmlp_rex2_lite,0.07221638767727465,0.02075842395424843,0.9948874115943909,0.005215206649154425,0.025074481964111328
agr_tmlp_gate_from_h_only,0.07233109601417353,0.025313150137662888,0.9948711395263672,0.005231787916272879,0.013517379760742188
agr_tmlp_no_gate_reg,0.07247449999867396,0.02298085205256939,0.9948508143424988,0.005252553150057793,0.014086246490478516
hre_tmlp_no_global_residual,0.07278538349406646,0.02623002976179123,0.9948065280914307,0.00529771251603961,0.02231884002685547
agr_tmlp_no_err_head,0.07295895808927512,0.02312876097857952,0.9947817325592041,0.00532301003113389,0.012655496597290039
sga_tmlp_lite,0.07315286275679839,0.028713377192616463,0.9947539567947388,0.005351341795176268,0.028480052947998047
agr_tmlp_switch_lite,0.07325747012595052,0.020449982956051826,0.9947389364242554,0.005366657394915819,0.03168034553527832
sr_agr_tmlp_lite,0.07355915782267133,0.02164575457572937,0.9946955442428589,0.005410949699580669,0.015339136123657227
tmlp-sr-lgr,0.07387504865129195,0.026679694652557373,0.9946498870849609,0.005457522347569466,0.0
hre_tmlp_dense_routing,0.07416897597974852,0.025006448850035667,0.9946072101593018,0.005501037463545799,0.021316051483154297
agr_tmlp_no_res_reg,0.07466934537603911,0.02522834949195385,0.9945341944694519,0.005575511604547501,0.01434469223022461
agr_tmlp_softgate,0.07489472851592707,0.025355497375130653,0.9945011734962463,0.0056092203594744205,0.014940023422241211
moe_tmlp,0.07564053695065252,0.02656102180480957,0.9943910837173462,0.005721490364521742,0.017707347869873047
pr_tmlp_residual_no_sparse,0.07567586244041118,0.03175007179379463,0.994385838508606,0.005726836156100035,0.018436670303344727
hre_tmlp_no_balance,0.0760143589304436,0.026389025151729584,0.9943355321884155,0.005778183229267597,0.02249932289123535
moe_tmlp_no_diversity,0.07609672384893665,0.02659573405981064,0.9943232536315918,0.005790711380541325,0.01654672622680664
pr_tmlp_residual,0.07640233084899273,0.02976468950510025,0.9942775368690491,0.005837315693497658,0.01775670051574707
tmlp-sr-pee,0.07650021250253503,0.032945528626441956,0.9942628741264343,0.0058522820472717285,0.0
pr_tmlp_pure_experts,0.07679406091553853,0.025725016370415688,0.9942187070846558,0.005897327791899443,0.017206192016601562
dcnv2,0.07688766481293963,0.020010342821478844,0.994204580783844,0.005911713466048241,0.00671076774597168
agr_tmlp_switch_hardlite,0.07693295928643101,0.02325289323925972,0.9941977858543396,0.005918679293245077,0.049878597259521484
pr_tmlp_residual_no_balance,0.07760010161676617,0.028033947572112083,0.9940966963768005,0.006021775305271149,0.017077207565307617
adr_tmlp,0.0776514753076942,0.02126103825867176,0.994088888168335,0.006029751617461443,0.02045917510986328
agr_tmlp_rex2_guarded_lite,0.07795718169347157,0.025810597464442253,0.9940422773361206,0.006077322643250227,0.03211331367492676
agr_tmlp_switch_lite_td,0.07885743368520737,0.03385728970170021,0.9939038753509521,0.0062184943817555904,0.034729957580566406
tmlp-sr,0.07910585980457374,0.026416465640068054,0.9938653707504272,0.0062577370554208755,0.0
tmlp,0.08154794255237814,0.028057502582669258,0.9934808015823364,0.006650066934525967,0.009634017944335938
pr_tmlp_residual_no_sep,0.08172966662168596,0.029382791370153427,0.993451714515686,0.0066797384060919285,0.01729130744934082
hre_tmlp_no_div,0.0824231792862008,0.031598784029483795,0.9933400750160217,0.006793580949306488,0.02206110954284668
hre_tmlp,0.08297623426370482,0.030790962278842926,0.9932504296302795,0.006885054986923933,0.02139735221862793
moe_tmlp_no_sparse,0.08480204874182938,0.028276486322283745,0.9929500818252563,0.0071913874708116055,0.016492128372192383
ft-transformer,0.08510078233567707,0.027405178174376488,0.9929003715515137,0.007242143154144287,0.03604435920715332
hre_tmlp_no_alpha,0.08714601287221793,0.025775471702218056,0.9925550222396851,0.0075944275595247746,0.02131199836730957
agsi_tmlp,0.08878263181700677,0.030817534774541855,0.9922727346420288,0.007882355712354183,0.027233362197875977
excel-former,0.09321171983130462,0.028288204222917557,0.9914824962615967,0.0086884256452322,0.015262126922607422
xgboost,0.09588835268931961,0.01721922867000103,0.9909863471984863,0.009194576181471348,0.002316713333129883
autoint,0.1080527291535886,0.05062000826001167,0.9885543584823608,0.011675392277538776,0.012052774429321289
mlp,0.12389772531954289,0.04291994124650955,0.984951376914978,0.015350645408034325,0.0021288394927978516
node,0.13907438613156797,0.01654055155813694,0.9810388684272766,0.019341684877872467,0.06325578689575195
lightgbm,0.1502962917786234,0.027878808934532484,0.9778554786807221,0.022588975322405093,0.014601945877075195
