model,rmse,mae,r2,loss,time
node,0.013244845898340542,0.006857896689325571,0.9998260140419006,0.00017542594287078828,1.4236242771148682
tmlp,0.014274880565967913,0.008085189387202263,0.9997979402542114,0.00020377221517264843,0.368009090423584
lightgbm,0.014679626066922129,0.0079576670633616,0.99978630274525,0.00021549142146465964,0.031049251556396484
xgboost,0.014945645545140324,0.008302253670990467,0.9997785091400146,0.0002233723207609728,0.020189762115478516
agr_tmlp_rex2_guarded_lite,0.016308679837439374,0.010461930185556412,0.9997362494468689,0.00026597300893627107,0.6369104385375977
catboost,0.01641673733654808,0.009917143395121146,0.9997327346507758,0.00026950926477721174,0.009142637252807617
agr_tmlp_switch_lite,0.01663127774744423,0.011527987197041512,0.9997256994247437,0.00027659942861646414,0.7353827953338623
agr_tmlp_rex2_lite,0.01665244911283779,0.011010009795427322,0.9997249841690063,0.0002773040614556521,0.5606422424316406
pr_tmlp_residual_no_sep,0.01776927588808276,0.01349136047065258,0.9996868968009949,0.00031574719469062984,0.3933119773864746
moe_tmlp_no_sparse,0.01812023764662509,0.01233050599694252,0.999674379825592,0.00032834301237016916,0.35581088066101074
sr_agr_tmlp_lite,0.019522001639855784,0.013519843108952045,0.9996220469474792,0.00038110854802653193,0.36060500144958496
dcnv2,0.019542457672958702,0.013497505336999893,0.9996212720870972,0.00038190765189938247,0.15944886207580566
pr_tmlp_pure_experts,0.019688894672087585,0.015357223339378834,0.9996155500411987,0.0003876525443047285,0.3991813659667969
ft-transformer,0.020029054098085402,0.015308347530663013,0.999602198600769,0.00040116303716786206,0.746769905090332
agsi_tmlp,0.02400885726844544,0.019577164202928543,0.999428391456604,0.0005764252855442464,0.590911865234375
agr_tmlp_softgate,0.024426335587762506,0.019635047763586044,0.9994083046913147,0.0005966458702459931,0.37049341201782227
hre_tmlp_no_alpha,0.02445193095651152,0.019976571202278137,0.9994070529937744,0.0005978970439173281,0.4898509979248047
pr_tmlp_residual_no_sparse,0.025059438246711276,0.02114010415971279,0.9993772506713867,0.0006279755034483969,0.39397406578063965
hre_tmlp,0.02549808028827817,0.02055559866130352,0.9993552565574646,0.0006501521565951407,0.4879612922668457
hre_tmlp_no_balance,0.02600755406851753,0.021637609228491783,0.9993292093276978,0.0006763928686268628,0.5178930759429932
moe_tmlp,0.026116429364200656,0.021515317261219025,0.9993236064910889,0.0006820678827352822,0.37728214263916016
hre_tmlp_dense_routing,0.02664851294221379,0.02228664793074131,0.9992957711219788,0.0007101432420313358,0.4528927803039551
hre_tmlp_no_div,0.02723368991317324,0.022144338116049767,0.9992644786834717,0.0007416738080792129,0.5086956024169922
moe_tmlp_no_diversity,0.029273960967521002,0.023794252425432205,0.9991501569747925,0.0008569647907279432,0.36226582527160645
agr_tmlp_no_gate_reg,0.02987070968291729,0.020834874361753464,0.9991151690483093,0.0008922592969611287,0.3088381290435791
pr_tmlp_residual,0.029942229282018753,0.025132274255156517,0.9991109371185303,0.0008965370943769813,0.4015963077545166
tmlp-sr-pee,0.03310978264960504,0.028059078380465508,0.9989128708839417,0.0010962578235194087,0.0
agr_tmlp_switch_hardlite,0.0332078386915803,0.029394466429948807,0.9989064335823059,0.0011027606669813395,0.7948710918426514
adr_tmlp,0.03388648122379925,0.02356356382369995,0.9988612532615662,0.0011482937261462212,0.38226747512817383
agr_tmlp_no_res_reg,0.034090460388028494,0.029324941337108612,0.9988475441932678,0.00116215948946774,0.32990384101867676
agr_tmlp,0.03419937860853478,0.029466481879353523,0.9988401532173157,0.0011695973807945848,0.32087206840515137
baseline_tmlp,0.03642596233261547,0.031606804579496384,0.9986841678619385,0.0013268508482724428,0.21116375923156738
tmlp-sr-lgr,0.03684356507326912,0.0313761830329895,0.9986538290977478,0.001357448403723538,0.0
pr_tmlp_residual_no_balance,0.037344933128468955,0.03085675835609436,0.9986169934272766,0.00139464414678514,0.3972625732421875
hre_tmlp_no_global_residual,0.03747249180449398,0.0316593237221241,0.9986075162887573,0.0014041878748685122,0.4649696350097656
agr_tmlp_gate_from_h_only,0.03772762364060157,0.031753864139318466,0.998588502407074,0.0014233735855668783,0.3166680335998535
sga_tmlp_lite_no_featmix,0.03883511853270637,0.032047808170318604,0.9985044002532959,0.0015081664314493537,0.5503032207489014
sga_tmlp_lite_no_beta_reg,0.04340823520019857,0.03249232470989227,0.9981313943862915,0.0018842749996110797,0.5371897220611572
sga_tmlp_lite_no_corr_reg,0.043740511880783414,0.03502755984663963,0.9981027245521545,0.0019132323795929551,0.5398147106170654
sga_tmlp_lite_topk12,0.04383259065210063,0.035077765583992004,0.9980946779251099,0.0019212958868592978,0.5334293842315674
sga_tmlp_lite_topk4,0.04383259065210063,0.035077765583992004,0.9980946779251099,0.0019212958868592978,0.5157136917114258
mlp,0.04404254197338923,0.033451467752456665,0.9980763792991638,0.0019397455034777522,0.06652593612670898
tmlp-sr,0.048307552534017674,0.03704191371798515,0.9976857900619507,0.0023336198646575212,0.0
sga_tmlp_lite,0.049837078519461654,0.03918097913265228,0.9975369572639465,0.0024837341625243425,0.524038553237915
agr_tmlp_no_err_head,0.04992207549507104,0.03699879348278046,0.9975285530090332,0.0024922138545662165,0.28063464164733887
autoint,0.05096441942770594,0.0368029847741127,0.9974242448806763,0.0025973720476031303,0.23497867584228516
