model,rmse,mae,r2,loss,time
lgbm_cgr_hybrid,0.384293746113472,0.2541772723197937,0.8474465608596802,0.14768168330192566,0.0007970333099365234
xgboost,0.3865203926695126,0.25440138578414917,0.8456736207008362,0.14939801394939423,0.004587888717651367
lightgbm,0.38695049077590093,0.256182428209984,0.8453299906366905,0.1497306823117106,0.009684562683105469
tmlp-sr-pee,0.3926691547585098,0.2599460482597351,0.840724527835846,0.15418905019760132,0.0
moe_tmlp_no_sparse,0.39290273350754834,0.2592393159866333,0.8405349850654602,0.15437257289886475,0.029997587203979492
agr_tmlp_switch_lite,0.3936803915166604,0.26023444533348083,0.8399031162261963,0.154984250664711,0.06646251678466797
hre_tmlp_no_global_residual,0.39390393230357107,0.26212814450263977,0.8397212624549866,0.1551603078842163,0.04691314697265625
tmlp-sr,0.39412536137858,0.26298341155052185,0.8395410180091858,0.15533480048179626,0.0
agr_tmlp_softgate,0.39451784167780657,0.2613649070262909,0.8392212986946106,0.15564432740211487,0.03593158721923828
agr_tmlp_switch_hardlite,0.3949846551727324,0.2613678574562073,0.8388405442237854,0.1560128629207611,0.06755924224853516
agr_tmlp_rex2_lite,0.39543284894928094,0.25993266701698303,0.8384746313095093,0.15636713802814484,0.04835963249206543
ggpl_tmlp,0.3962400463430507,0.2632652819156647,0.8378145098686218,0.157006174325943,0.02006697654724121
pr_tmlp_pure_experts,0.39667008659280295,0.25913262367248535,0.837462306022644,0.1573471575975418,0.03271937370300293
sga_tmlp_lite_no_featmix,0.39678748059403857,0.26325732469558716,0.8373660445213318,0.15744030475616455,0.04397702217102051
agsi_tmlp,0.3976355129448319,0.2634521722793579,0.8366701602935791,0.1581140011548996,0.0501711368560791
hre_tmlp_no_div,0.3976562732329296,0.2686867415904999,0.8366530537605286,0.15813051164150238,0.051158905029296875
iggpl_cgr_tmlp,0.39835276357128574,0.2661404311656952,0.8360803723335266,0.15868490934371948,0.050875186920166016
hre_tmlp,0.3983639854976815,0.26190343499183655,0.8360711336135864,0.15869387984275818,0.04161691665649414
ggpl_tmlp_gfg,0.39856710383026567,0.26569923758506775,0.8359039425849915,0.15885573625564575,0.04352736473083496
hre_tmlp_dense_routing,0.39863504860534454,0.26923489570617676,0.8358479738235474,0.1589098870754242,0.046109914779663086
apar_cgr_tmlp,0.39875436786423807,0.2629719078540802,0.8357496857643127,0.1590050309896469,0.0413362979888916
hre_tmlp_no_balance,0.3988102310156771,0.26279833912849426,0.8357036709785461,0.1590496003627777,0.05038857460021973
qcal_cgr_tmlp,0.3989529734650703,0.2650771141052246,0.8355860114097595,0.1591634750366211,0.06289887428283691
rgc_cgr_tmlp,0.3990029828789482,0.26058340072631836,0.8355448246002197,0.15920338034629822,0.07204771041870117
cgr_tmlp,0.39908367940192446,0.2620181739330292,0.8354783058166504,0.15926776826381683,0.04321622848510742
ggpl_cgr_tmlp,0.399125346923448,0.2613258957862854,0.835443913936615,0.1593010425567627,0.04851579666137695
agr_tmlp_no_gate_reg,0.3991663941393714,0.2614472210407257,0.8354100584983826,0.15933381021022797,0.03713345527648926
catboost,0.3997747561631055,0.2705836769533018,0.8349079948708894,0.15981985566527046,0.0022940635681152344
