model,rmse,mae,r2,loss,time
lightgbm,0.2323641605324373,0.18162492813454112,0.9453997366301888,0.053993103099944297,0.10727858543395996
lgbm_cgr_hybrid,0.23244903309615447,0.18172895908355713,0.9453598260879517,0.05403255298733711,0.0007522106170654297
hre_tmlp,0.23252085173070505,0.1821979135274887,0.9453260898590088,0.054065946489572525,0.11086773872375488
dcnv2,0.2328678548533714,0.18216805160045624,0.9451627731323242,0.05422744154930115,0.032532691955566406
xgboost,0.23290023942544438,0.18179215490818024,0.9451475143432617,0.05424252152442932,0.00563359260559082
agr_tmlp_no_gate_reg,0.23294482982700762,0.18272119760513306,0.9451265335083008,0.05426330119371414,0.06861758232116699
sr_agr_tmlp_lite,0.23302065229572283,0.18226559460163116,0.9450907707214355,0.05429862439632416,0.07418298721313477
qcal_cgr_tmlp,0.23314447032732413,0.18249721825122833,0.9450324177742004,0.054356347769498825,0.15397024154663086
agr_tmlp_no_err_head,0.233147586106794,0.18303214013576508,0.945030927658081,0.054357800632715225,0.06199502944946289
pr_tmlp_residual_no_balance,0.23327302156820937,0.18366074562072754,0.9449717998504639,0.05441630631685257,0.09440970420837402
hre_tmlp_no_div,0.23329748580093349,0.18269264698028564,0.9449602365493774,0.05442771688103676,0.1079092025756836
hre_tmlp_no_global_residual,0.23338347351115457,0.1830391138792038,0.9449196457862854,0.05446784943342209,0.10484075546264648
catboost,0.2333884836190181,0.18321659366996568,0.9449172905970655,0.05447018428598468,0.0028579235076904297
ggpl_cgr_tmlp,0.23341300950788155,0.18338173627853394,0.944905698299408,0.054481636732816696,0.12759947776794434
scgr_tmlp,0.2334525073639257,0.18358196318149567,0.9448870420455933,0.054500073194503784,0.13663697242736816
cgr_tmlp_v2,0.23350913323688705,0.1833803802728653,0.9448603391647339,0.054526519030332565,0.1194756031036377
rgc_cgr_tmlp,0.23350950016732938,0.18314681947231293,0.9448601603507996,0.054526686668395996,0.17957615852355957
agr_tmlp_softgate,0.2335280294049503,0.18343351781368256,0.9448513984680176,0.05453534424304962,0.07458209991455078
agsi_tmlp,0.2335359894266346,0.18328247964382172,0.9448476433753967,0.05453906208276749,0.13022089004516602
nr_cgr_tmlp,0.23353827848083672,0.1835811287164688,0.9448465704917908,0.054540131241083145,0.1362626552581787
iggpl_cgr_tmlp,0.23359008326890005,0.18352669477462769,0.9448220729827881,0.054564327001571655,0.1302809715270996
cgr_tmlp,0.23367967779408155,0.18340502679347992,0.9447797536849976,0.05460619926452637,0.1146547794342041
agpl_cgr_tmlp,0.23368383061348355,0.18352903425693512,0.94477778673172,0.05460813641548157,0.19591712951660156
baseline_tmlp,0.2337744011102013,0.1839199662208557,0.9447349905967712,0.05465047061443329,0.042659759521484375
tmlp,0.2337744011102013,0.1839199662208557,0.9447349905967712,0.05465047061443329,0.04225897789001465
agr_tmlp_switch_lite,0.23378170738027595,0.18351195752620697,0.9447315335273743,0.05465389043092728,0.15794014930725098
agr_tmlp_rex2_lite,0.23380201554008845,0.1832321286201477,0.9447219371795654,0.05466338247060776,0.12526416778564453
cgr_tmlp_v3,0.23381291381729977,0.1831422597169876,0.94471675157547,0.05466848239302635,0.11751365661621094
agr_tmlp,0.23383529830518474,0.18379788100719452,0.9447062015533447,0.05467894673347473,0.0687704086303711
hre_tmlp_no_alpha,0.2338934083113338,0.18341414630413055,0.9446786642074585,0.054706133902072906,0.10039520263671875
sgg_cgr_tmlp,0.2339017779573212,0.18352991342544556,0.9446747303009033,0.05471004173159599,0.14327359199523926
tmlp-sr,0.23397793514197185,0.1834956258535385,0.944638729095459,0.05474567413330078,0.0
agr_tmlp_no_res_reg,0.23397889043274095,0.18335288763046265,0.9446382522583008,0.0547461211681366,0.06811261177062988
pr_tmlp_residual,0.23398559327994511,0.18362435698509216,0.9446350932121277,0.0547492615878582,0.0841512680053711
agr_tmlp_rex2_guarded_lite,0.23403394043565723,0.18323998153209686,0.9446122050285339,0.05477188527584076,0.1398322582244873
