model,rmse,mae,r2,loss,time
ggtm_tmlp,0.5711272862444188,0.27777731749740653,0.6931767463684082,0.32618629932403564,0.04007458686828613
ggpl_tabm_cgr,0.5792366548060056,0.27440858178240646,0.6844017505645752,0.3355150818824768,0.04405379295349121
agpl_cgr_tmlp,0.5799320355668,0.2787500654161015,0.6836435794830322,0.3363211154937744,0.10846352577209473
cgr_tmlp,0.5799855294114301,0.2777687344275357,0.6835852265357971,0.3363831341266632,0.04694056510925293
sga_tmlp_lite_no_corr_reg,0.5803792331187057,0.2854709965552047,0.6831555366516113,0.3368399739265442,0.05022907257080078
dpg_cgr_tmlp,0.5819994440230298,0.27640909271348235,0.6813839673995972,0.3387232720851898,0.05313825607299805
cgr_tmlp_v2,0.5828161826898729,0.28595278095635734,0.6804891228675842,0.33967459201812744,0.0569000244140625
qcal_cgr_tmlp,0.583267862456288,0.28117558731741354,0.679993748664856,0.34020131826400757,0.08598470687866211
agr_tmlp_rex2_guarded_lite,0.5834700376302672,0.2802343404572376,0.6797717809677124,0.3404372036457062,0.05817866325378418
sr_agr_tmlp_lite,0.5862058088563524,0.28181183717391534,0.6767618060112,0.3436371684074402,0.03284931182861328
agr_tmlp_rex2_lite,0.5863562486451392,0.2789267932089281,0.6765958666801453,0.34381353855133057,0.053247690200805664
agr_tmlp_switch_hardlite,0.5864112909646969,0.2861847026568256,0.6765351295471191,0.3438780903816223,0.0714714527130127
rgc_cgr_tmlp,0.5865826107878195,0.2765356035870994,0.6763461232185364,0.34407907724380493,0.09863471984863281
agr_tmlp_switch_lite,0.5871160926267521,0.2853822750308801,0.6757571697235107,0.344705194234848,0.0665132999420166
apar_cgr_tmlp,0.587149187565617,0.2812580801556166,0.6757205724716187,0.34474408626556396,0.04490065574645996
agr_tmlp_softgate,0.5906668923446502,0.2858782453391804,0.6718233823776245,0.34888729453086853,0.03253674507141113
sgg_cgr_tmlp,0.591028471150104,0.28300789392088177,0.6714214086532593,0.3493146002292633,0.06398940086364746
