model,rmse,mae,r2,loss,time
lightgbm,0.3292659700593575,0.23290446534936832,0.8909435756415308,0.10841607903912971,0.04429507255554199
lgbm_cgr_hybrid,0.32986726741176803,0.23294147849082947,0.8905448913574219,0.10881241410970688,0.0008039474487304688
xgboost,0.33232360759076945,0.23369987308979034,0.8889087438583374,0.11043898016214371,0.06795763969421387
catboost,0.332354176600374,0.2346476878084877,0.8888882879685842,0.11045929870371259,0.003461599349975586
ggpl_tmlp_gfg,0.33331515093725067,0.23829564452171326,0.8882448077201843,0.1110989898443222,0.04723763465881348
cgr_tmlp_v3,0.3335332109788055,0.2333458513021469,0.8880985379219055,0.11124440282583237,0.04867148399353027
agr_tmlp_no_gate_reg,0.3344828249088668,0.23696690797805786,0.8874604105949402,0.11187875270843506,0.031009197235107422
ggpl_cgr_tmlp,0.3345507565387603,0.23598352074623108,0.8874146938323975,0.11192420870065689,0.05013275146484375
cgr_tmlp_stage2,0.3350051872898001,0.23450151085853577,0.8871086239814758,0.11222847551107407,0.044588327407836914
sga_tmlp_lite_no_featmix,0.3351501286443378,0.23755769431591034,0.887010931968689,0.11232560127973557,0.048853158950805664
dcnv2,0.3353411571241411,0.2378557175397873,0.8868821263313293,0.11245368421077728,0.01352381706237793
tmlp-sr-pee,0.3354351368354073,0.2376914769411087,0.8868187069892883,0.11251672357320786,0.0
agr_tmlp_softgate,0.33549804554254864,0.23970501124858856,0.8867762088775635,0.11255893856287003,0.042885541915893555
hre_tmlp_no_global_residual,0.3356124169994006,0.23637573421001434,0.8866990208625793,0.11263568699359894,0.04090547561645508
ggtm_tmlp,0.33563601472209237,0.23842017352581024,0.8866831064224243,0.11265154182910919,0.037531137466430664
scgr_tmlp,0.33587594910016566,0.23697249591350555,0.88652104139328,0.11281265318393707,0.05652189254760742
agpl_cgr_tmlp,0.33593107927085936,0.2371906042098999,0.8864837884902954,0.11284969747066498,0.09719061851501465
cgr_tmlp,0.3361238805369911,0.23665519058704376,0.8863534331321716,0.11297926306724548,0.05332636833190918
iggpl_cgr_tmlp,0.3361679772486378,0.23616205155849457,0.8863236308097839,0.11300890147686005,0.05830740928649902
agr_tmlp_rex2_lite,0.3362635427534319,0.23758268356323242,0.8862589597702026,0.11307316273450851,0.05046510696411133
agr_tmlp_switch_hardlite,0.336388307651935,0.2357848435640335,0.8861745595932007,0.11315708607435226,0.06916999816894531
ggpl_tmlp_gluhead,0.3363939444616337,0.23958304524421692,0.8861707448959351,0.11316089332103729,0.025114774703979492
tmlp-sr-lgr,0.3364776992047048,0.2389746457338333,0.8861140608787537,0.11321724206209183,0.0
pr_tmlp_residual,0.3365967956750838,0.24018478393554688,0.8860334157943726,0.11329740285873413,0.03620338439941406
sgg_cgr_tmlp,0.3366005364745812,0.2377648949623108,0.8860308527946472,0.11329992860555649,0.05887341499328613
pr_tmlp_residual_no_sep,0.3366232017316073,0.2402016818523407,0.8860155344009399,0.1133151724934578,0.034871578216552734
agr_tmlp,0.3366369572933435,0.24018464982509613,0.886006236076355,0.11332444101572037,0.02666616439819336
agr_tmlp_no_res_reg,0.33666437820838657,0.24025194346904755,0.8859876394271851,0.11334290355443954,0.027598142623901367
dpg_cgr_tmlp,0.336686718295606,0.23579274117946625,0.8859724998474121,0.11335793882608414,0.05212903022766113
excel-former,0.3367963059893292,0.239457368850708,0.8858982920646667,0.11343175172805786,0.05900454521179199
lar_tmlp,0.3368398059338379,0.234754741191864,0.8858687877655029,0.11346106231212616,0.053345680236816406
ggpl_tmlp,0.3369526606025211,0.23767022788524628,0.8857923150062561,0.11353709548711777,0.021538496017456055
ggpl_tmlp_mlphead,0.3369889549276318,0.24163387715816498,0.8857676982879639,0.11356155574321747,0.024268150329589844
baseline_tmlp,0.33700661977327884,0.24055124819278717,0.885755717754364,0.11357345432043076,0.016025781631469727
moe_tmlp,0.3370408745542315,0.2378944307565689,0.8857324719429016,0.11359654366970062,0.032259225845336914
tmlp-sr,0.33704476516428994,0.24008826911449432,0.8857298493385315,0.11359917372465134,0.0
agr_tmlp_gate_from_h_only,0.3370659195705105,0.2400374710559845,0.8857154846191406,0.11361343413591385,0.03223109245300293
rgc_cgr_tmlp,0.33708403349537663,0.23940156400203705,0.8857032060623169,0.11362563073635101,0.0874323844909668
agsi_tmlp,0.33745044635865273,0.2370394468307495,0.8854545950889587,0.11387281119823456,0.05254817008972168
moe_tmlp_no_diversity,0.337495926108321,0.2385558933019638,0.8854237198829651,0.11390350013971329,0.03253006935119629
cgr_tmlp_v2,0.33752161062776753,0.2380692958831787,0.8854063153266907,0.11392083764076233,0.05036664009094238
agr_tmlp_switch_lite,0.33759810072759533,0.23857906460762024,0.8853543400764465,0.1139724850654602,0.06702041625976562
pr_tmlp_residual_no_sparse,0.33794580130366797,0.24240724742412567,0.8851180672645569,0.11420736461877823,0.036055564880371094
qcal_cgr_tmlp,0.33806189016836197,0.2414100617170334,0.8850391507148743,0.11428583413362503,0.08037710189819336
excel_cgr_lite,0.3381411004419855,0.2383410632610321,0.8849852681159973,0.11433940380811691,0.0468442440032959
hre_tmlp_dense_routing,0.33825275001549854,0.2401759773492813,0.8849092721939087,0.11441490799188614,0.039695024490356445
agr_tmlp_switch_lite_td,0.33839473714856244,0.2420634776353836,0.8848126530647278,0.11451099812984467,0.06501364707946777
ggpl_tabm_cgr,0.3384237768855187,0.23952245712280273,0.8847928643226624,0.11453064531087875,0.04175257682800293
hre_tmlp_no_div,0.33859715985040967,0.2406540960073471,0.8846747875213623,0.11464803665876389,0.04316377639770508
hre_tmlp,0.33873779288956757,0.24054069817066193,0.8845790028572083,0.11474329233169556,0.04348134994506836
sr_agr_tmlp_lite,0.3387718836201523,0.2412261813879013,0.8845557570457458,0.11476638168096542,0.03377366065979004
pr_tmlp_residual_no_balance,0.33883163309601083,0.24077868461608887,0.8845150470733643,0.1148068830370903,0.03571438789367676
agr_tmlp_no_err_head,0.33889584598778477,0.24110431969165802,0.8844712376594543,0.11485039442777634,0.0232393741607666
moe_tmlp_no_sparse,0.33908348985385417,0.23811820149421692,0.8843432664871216,0.11497762054204941,0.034667253494262695
tmlp,0.3391626812121169,0.24120882153511047,0.8842892646789551,0.11503132432699203,0.16502594947814941
agr_tmlp_rex2_guarded_lite,0.33927532319957293,0.23970243334770203,0.8842123746871948,0.11510774493217468,0.05390453338623047
hre_tmlp_no_balance,0.3394325772509551,0.24342678487300873,0.8841050267219543,0.11521446704864502,0.04358220100402832
apar_cgr_tmlp,0.3395679714184055,0.24246962368488312,0.8840125203132629,0.11530640721321106,0.042295217514038086
pr_tmlp_pure_experts,0.33961397931804066,0.24013015627861023,0.8839811086654663,0.11533765494823456,0.03464841842651367
hre_tmlp_no_alpha,0.3402592213051703,0.24473772943019867,0.8835398554801941,0.11577634513378143,0.04228353500366211
ft-transformer,0.34185929954503913,0.24395163357257843,0.8824419379234314,0.1168677806854248,0.06597781181335449
adr_tmlp,0.34252123779038807,0.24315513670444489,0.8819862604141235,0.11732079088687897,0.03295540809631348
hlr_tmlp,0.3431250027272653,0.24007491767406464,0.8815698623657227,0.11773476004600525,0.06674480438232422
nr_cgr_tmlp,0.34773564235822263,0.2495887279510498,0.878365695476532,0.1209200769662857,0.05325722694396973
autoint,0.34845320832976906,0.2520975172519684,0.8778631687164307,0.12141963839530945,0.018625736236572266
sga_tmlp_lite_topk4,0.3497931993430849,0.24840599298477173,0.8769220113754272,0.12235528230667114,0.04669690132141113
sga_tmlp_lite_topk12,0.34979971706963464,0.24848432838916779,0.8769174218177795,0.12235985696315765,0.0462038516998291
sga_tmlp_lite_no_corr_reg,0.34996910342016324,0.2486080676317215,0.8767982125282288,0.12247836589813232,0.046685218811035156
sga_tmlp_lite,0.35217819342041057,0.25132131576538086,0.8752379417419434,0.1240294799208641,0.04858136177062988
sga_tmlp_lite_no_beta_reg,0.35329536826509333,0.25208979845046997,0.8744451403617859,0.1248176097869873,0.04773592948913574
node,0.3545429414088205,0.2486119568347931,0.8735568523406982,0.1257007122039795,0.10986471176147461
mlp,0.38700359142470436,0.28152555227279663,0.8493435978889465,0.1497717648744583,0.00432586669921875
