model,rmse,mae,r2,loss,time
ggpl_tmlp,0.026616348512952217,0.02024918801552822,0.9334844946861267,0.058940209448337555,0.0016345977783203125
sga_tmlp_lite,0.027820769418468,0.021271551341501382,0.9273285269737244,0.06439511477947235,0.001848459243774414
ggpl_tmlp_mlphead,0.028271291046452075,0.022583736479538263,0.9249557852745056,0.06649760901927948,0.0015947818756103516
tmlp-sr,0.028840655375401134,0.022911789298703855,0.9219026565551758,0.06920300424098969,0.0
excel-former,0.029206978973533523,0.022928970543968807,0.9199061393737793,0.07097215950489044,0.0021970272064208984
tmlp-sr-pee,0.030518994856445346,0.023270038764962475,0.9125487208366394,0.07749167829751968,0.0
tmlp-sr-lgr,0.03087220135607959,0.02380080315943056,0.9105128049850464,0.07929575443267822,0.0
tmlp,0.03093298729822159,0.024059737284489957,0.9101600646972656,0.07960832864046097,0.0015146732330322266
agr_tmlp,0.031056220782195398,0.0248805440356743,0.9094427824020386,0.08024387061595917,0.0009870529174804688
adr_tmlp,0.03111372887302411,0.023984781508579855,0.9091070890426636,0.08054133504629135,0.0012831687927246094
pr_tmlp_residual,0.031870395369771654,0.024648442843340668,0.9046324491500854,0.08450638502836227,0.0013422966003417969
moe_tmlp,0.03243836474033955,0.025358960931613828,0.9012029767036438,0.0875452384352684,0.0019457340240478516
ft-transformer,0.03311136026548493,0.02420613645851044,0.8970609903335571,0.09121549874544144,0.004118680953979492
hre_tmlp,0.03356338516366479,0.026363958408279542,0.8942312598228455,0.09372300654649734,0.0016765594482421875
mlp,0.03376598505227526,0.025141144498108448,0.8929504752159119,0.09485789388418198,0.0002281665802001953
node,0.03455875127755465,0.02471653232906834,0.8878648281097412,0.09936438500881195,0.007337808609008789
autoint,0.03629588498592448,0.02529448347719554,0.8763083219528198,0.10960475355386734,0.002177715301513672
catboost,0.03642297269988382,0.02824990673240106,0.8754405817050293,0.11037366785578362,0.011950969696044922
ggpl_tmlp_gluhead,0.03781267635509108,0.028354070035936374,0.865754246711731,0.11895686388015747,0.002314329147338867
lightgbm,0.04003527246944947,0.03202528466083362,0.8495087076160716,0.13335222778125322,0.03909039497375488
ggpl_tmlp_gfg,0.045582813955076885,0.03573709797293079,0.8049131035804749,0.17286892235279083,0.002498626708984375
xgboost,0.05040549968484695,0.03218901481079728,0.7614487409591675,0.21138323843479156,0.09636068344116211
dcnv2,12.033549771776192,1.547777483606339,-13595.068359375,12047.6484375,0.0007252693176269531
