model,rmse,mae,r2,loss,time
agr_tmlp,0.02116485565340893,0.015656514400137267,0.9984385371208191,0.0016718610422685742,0.0026731491088867188
tmlp-sr,0.02116514155993762,0.01658513031027775,0.9984385371208191,0.0016719060949981213,0.0
tmlp,0.02240804816280605,0.016211407777012354,0.9982497096061707,0.0018740346422418952,0.0027878284454345703
adr_tmlp,0.022569993276288156,0.016393098298359998,0.9982243776321411,0.0019012202974408865,0.0032939910888671875
tmlp-sr-pee,0.023122330576281044,0.01790511562128616,0.9981364011764526,0.001995412865653634,0.0
tmlp-sr-lgr,0.02353688380673425,0.017917236935797387,0.9980689287185669,0.0020676045678555965,0.0
moe_tmlp,0.023911927233871224,0.01877030867190843,0.9980069398880005,0.0021340209059417248,0.004062652587890625
pr_tmlp_residual,0.024021905203077436,0.01889207524006631,0.9979885220527649,0.0021536964923143387,0.003608226776123047
hre_tmlp,0.024204886480341577,0.0188122955478498,0.9979577660560608,0.0021866317838430405,0.005055665969848633
excel-former,0.026061231112062627,0.01791577335359662,0.9976325035095215,0.0025348917115479708,0.00990152359008789
ft-transformer,0.03548251549169676,0.02913442402457589,0.9956114292144775,0.004698923323303461,0.009792327880859375
node,0.04403418664703664,0.02348872221158116,0.9932411313056946,0.007236849516630173,0.012289285659790039
catboost,0.04708019156620752,0.03208004092713043,0.9922737031200632,0.008272675681607633,0.00463414192199707
sga_tmlp_lite,0.048852117220701145,0.033789562219932456,0.9916811585426331,0.00890710111707449,0.004253387451171875
autoint,0.053120745203857477,0.031957323138655624,0.9901638627052307,0.010531685315072536,0.003150463104248047
lightgbm,0.05569567808604049,0.03292415285617686,0.9891872057112194,0.011577440234700458,0.02852010726928711
xgboost,0.05780341318072461,0.03362372427997151,0.9883533120155334,0.012470289133489132,0.0019299983978271484
mlp,0.10082918248397722,0.05513260543457399,0.9645621180534363,0.03794391080737114,0.0004038810729980469
dcnv2,0.7828050901585748,0.5324030587623412,-1.136005163192749,2.2870562076568604,0.0015826225280761719
