model,rmse,mae,r2,loss,time
adr_tmlp,0.02168886645934945,0.01503057714725653,0.9980469942092896,0.0017197298584505916,0.002326488494873047
tmlp-sr-pee,0.022224961581105505,0.015609210640618487,0.9979492425918579,0.001805795356631279,0.0
ggpl_tmlp,0.023008985486659334,0.01659531415119586,0.9978020191192627,0.0019354475662112236,0.002597808837890625
excel-former,0.023299278131799724,0.018282473746471517,0.9977461695671082,0.001984592992812395,2.1497581005096436
agr_tmlp,0.023351525485366585,0.016874795142605592,0.9977360963821411,0.0019935034215450287,0.0019176006317138672
tmlp-sr,0.023840371185133432,0.016242535278107928,0.9976403117179871,0.00207784166559577,0.0
ggpl_tmlp_gluhead,0.02466927593522161,0.01717893639340584,0.9974733591079712,0.0022248427849262953,0.0031387805938720703
ggpl_tmlp_mlphead,0.02558990853943162,0.0184882934890247,0.9972812533378601,0.0023939989041537046,0.003221750259399414
tmlp-sr-lgr,0.026880356864078855,0.01901158898623123,0.9970000982284546,0.0026415358297526836,0.0
hre_tmlp,0.027007660740123184,0.02001723931298427,0.9969716668128967,0.002666615881025791,0.002954244613647461
moe_tmlp,0.027983314016621744,0.019505068891318533,0.9967489242553711,0.002862759167328477,0.0030908584594726562
tmlp,0.029570690114439906,0.0180952665865175,0.9963696002960205,0.0031967556569725275,0.0023734569549560547
pr_tmlp_residual,0.029667738589942663,0.021919979881716678,0.9963456988334656,0.003217772813513875,0.0022416114807128906
node,0.03924410628687433,0.023352710363218954,0.9936058521270752,0.005630350671708584,1.0778532028198242
catboost,0.042660551170070955,0.027792220141319088,0.9924441086581972,0.006653335850303347,0.007647514343261719
xgboost,0.04608797558685676,0.028838535769472262,0.9911812543869019,0.007765363436192274,0.21811199188232422
lightgbm,0.0484938209044108,0.02991288209246483,0.9902364987113598,0.008597245541211508,0.03639054298400879
sga_tmlp_lite,0.050197725556324645,0.03646110825896365,0.989538311958313,0.009212014265358448,0.00302886962890625
ft-transformer,0.05255189867970794,0.03976190843017058,0.9885340332984924,0.010096327401697636,2.918445348739624
ggpl_tmlp_gfg,0.06580812270192593,0.04368119655756342,0.9820199012756348,0.01583235338330269,0.007626056671142578
autoint,0.07085274170297082,0.036707344563166266,0.9791576862335205,0.018352698534727097,1.2452723979949951
mlp,0.13327112575496222,0.06294758289562008,0.9262596964836121,0.06493198126554489,0.10066628456115723
dcnv2,172.82648224213085,13.985482765807774,-124008.03125,109196.09375,0.6966743469238281
