model,rmse,mae,r2,loss,time
dcnv2,0.14326638836261524,0.09008143842220306,0.9796391129493713,0.020525263622403145,0.10437369346618652
lgbm_cgr_hybrid,0.14337903909140542,0.09026370197534561,0.9796070456504822,0.020557548850774765,0.0007109642028808594
sr_agr_tmlp_lite,0.14354077745373509,0.09172269701957703,0.9795610308647156,0.020603956654667854,0.22731232643127441
node,0.1436035112149453,0.09036730229854584,0.979543149471283,0.020621968433260918,0.8122434616088867
tmlp,0.14368898247347717,0.0912364274263382,0.9795188307762146,0.020646527409553528,0.25325632095336914
qcal_cgr_tmlp,0.14398706935570127,0.09082154184579849,0.9794337153434753,0.020732278004288673,0.41781091690063477
agr_tmlp_switch_lite,0.1440099710718565,0.09055998176336288,0.9794272184371948,0.02073887176811695,0.49918103218078613
sgg_cgr_tmlp,0.14411383356598526,0.09174896776676178,0.9793975353240967,0.020768797025084496,0.45684313774108887
cgr_tmlp_stage2,0.1441666217817207,0.08944046497344971,0.9793823957443237,0.02078401669859886,0.3222787380218506
agr_tmlp_rex2_lite,0.14420035218030156,0.09353247284889221,0.9793727397918701,0.020793745294213295,0.3433253765106201
ft-transformer,0.1443173785014927,0.09163131564855576,0.9793393015861511,0.020827505737543106,0.4674499034881592
agpl_cgr_tmlp,0.14433929867889425,0.09280013293027878,0.9793329834938049,0.020833835005760193,0.5481297969818115
rgc_cgr_tmlp,0.14435780918276706,0.09277203679084778,0.9793276786804199,0.020839177072048187,0.4906332492828369
pr_tmlp_pure_experts,0.14438377408411876,0.09277517348527908,0.9793202877044678,0.02084667608141899,0.25727200508117676
lar_tmlp,0.144486175416158,0.095150426030159,0.9792909026145935,0.02087625488638878,0.3978402614593506
excel_cgr_lite,0.14449733903358652,0.08809385448694229,0.9792877435684204,0.020879480987787247,0.3501734733581543
ggpl_cgr_tmlp,0.144556829405618,0.09323923289775848,0.9792706370353699,0.020896676927804947,0.3764777183532715
lightgbm,0.1445910782342877,0.0912406770236766,0.9792608359025994,0.020906579904953912,0.010354995727539062
hlr_tmlp,0.1446480021726448,0.09034044295549393,0.9792445302009583,0.02092304453253746,0.47405219078063965
iggpl_cgr_tmlp,0.1446833905219351,0.0910106897354126,0.9792343378067017,0.020933285355567932,0.38642334938049316
agr_tmlp_rex2_guarded_lite,0.14468703380081177,0.09060337394475937,0.9792333245277405,0.020934339612722397,0.38591980934143066
catboost,0.14473559994519442,0.09156610601984737,0.9792193567542933,0.02094839389149536,0.005486965179443359
dpg_cgr_tmlp,0.1448218349947408,0.09063024073839188,0.9791945815086365,0.020973367616534233,0.3626368045806885
nr_cgr_tmlp,0.14484141550579843,0.09156763553619385,0.9791889786720276,0.020979035645723343,0.4144442081451416
mlp,0.14488198921625883,0.09274741262197495,0.9791772961616516,0.02099079079926014,0.031160354614257812
moe_tmlp_no_sparse,0.14490267994069508,0.08940085023641586,0.9791713356971741,0.020996786653995514,0.23440337181091309
cgr_tmlp,0.14494330718121812,0.09068266302347183,0.9791596531867981,0.021008562296628952,0.33310818672180176
adr_tmlp,0.14495063840750833,0.09610740095376968,0.979157567024231,0.021010689437389374,0.2600901126861572
cgr_tmlp_v2,0.1450965368638742,0.09165451675653458,0.9791156053543091,0.021053005009889603,0.3689463138580322
cgr_tmlp_v3,0.14510105551674896,0.09328792244195938,0.979114294052124,0.02105431631207466,0.3573033809661865
agr_tmlp_softgate,0.14515796309282533,0.09607986360788345,0.9790979027748108,0.02107083611190319,0.23573827743530273
ggpl_tmlp,0.14524346219054848,0.09378248453140259,0.9790732860565186,0.02109566144645214,0.14942312240600586
agsi_tmlp,0.1454417123364867,0.09451132267713547,0.979016125202179,0.021153293550014496,0.39197492599487305
xgboost,0.1456189978881138,0.09164293855428696,0.9789649248123169,0.021204892545938492,0.014177322387695312
ggpl_tmlp_gfg,0.1456431712941001,0.09486867487430573,0.9789579510688782,0.021211935207247734,0.3425297737121582
agr_tmlp_gate_from_h_only,0.14566391373798346,0.08998453617095947,0.9789519309997559,0.02121797949075699,0.21476030349731445
tmlp-sr-pee,0.14566389455706324,0.0931829884648323,0.9789519309997559,0.021217970177531242,0.0
autoint,0.14567812610558056,0.09579820185899734,0.9789478182792664,0.02122211828827858,0.14057302474975586
sga_tmlp_lite_no_beta_reg,0.14572858383461174,0.09534305334091187,0.9789332151412964,0.02123682014644146,0.33591127395629883
hre_tmlp_no_alpha,0.14590490804313705,0.0920904129743576,0.9788822531700134,0.02128824219107628,0.30944108963012695
sga_tmlp_lite_no_corr_reg,0.14591431001577979,0.09577765315771103,0.9788795113563538,0.021290985867381096,0.34275078773498535
sga_tmlp_lite_topk12,0.1459192820293204,0.09579496830701828,0.9788780808448792,0.021292435005307198,0.33614492416381836
sga_tmlp_lite_topk4,0.1459192820293204,0.09579496830701828,0.9788780808448792,0.021292435005307198,0.3424808979034424
tmlp-sr,0.14594105732521442,0.08966551721096039,0.978871762752533,0.021298790350556374,0.0
hre_tmlp_dense_routing,0.14604978307798,0.09714116156101227,0.9788402915000916,0.021330542862415314,0.3036768436431885
agr_tmlp_no_err_head,0.14607340701648236,0.08991726487874985,0.9788334369659424,0.021337440237402916,0.18688488006591797
agr_tmlp_no_gate_reg,0.14614184704721028,0.09296978265047073,0.9788135886192322,0.02135743945837021,0.2000110149383545
pr_tmlp_residual,0.14616262067148597,0.09350008517503738,0.9788075685501099,0.0213635116815567,0.25995779037475586
agr_tmlp_no_res_reg,0.1461741595902708,0.09194578975439072,0.9788042306900024,0.02136688493192196,0.20232582092285156
agr_tmlp,0.14618177949224875,0.09188567101955414,0.9788020253181458,0.02136911451816559,0.20664238929748535
