model,rmse,mae,r2,loss,time
agpl_cgr_tmlp,0.013279638564437372,0.0085843670622614,0.9992397427558899,0.000620656181126833,0.06342744827270508
scgr_tmlp,0.013678776745856306,0.009801637222834891,0.9991933107376099,0.0006585262599401176,0.008235692977905273
rgc_cgr_tmlp,0.014134902253714315,0.00945414786346399,0.9991386532783508,0.0007031762506812811,0.06032109260559082
sgg_cgr_tmlp,0.014407385465500442,0.007871653762887565,0.9991050958633423,0.0007305482286028564,0.00902414321899414
excel-former,0.014580695666503628,0.010183119351050207,0.9990834593772888,0.0007482299115508795,0.006952047348022461
adr_tmlp,0.014778546752748808,0.011134389666605848,0.9990584254264832,0.0007686737226322293,0.005189180374145508
sr_agr_tmlp_lite,0.014855309187656016,0.009602731321428637,0.9990485906600952,0.0007766797207295895,0.004832744598388672
agr_tmlp_softgate,0.015278263519176502,0.011427651638764802,0.9989936351776123,0.0008215359412133694,0.004699230194091797
cgr_tmlp_v2,0.01547727946313959,0.010831408524711872,0.9989672303199768,0.0008430781308561563,0.007928133010864258
ggpl_cgr_tmlp,0.015679253041616627,0.011493222525233326,0.998940110206604,0.0008652255637571216,0.00797414779663086
hre_tmlp_dense_routing,0.015988609378141803,0.012128541884383948,0.998897910118103,0.0008997046970762312,0.0063953399658203125
pr_tmlp_residual_no_sep,0.01617219575155453,0.013013020087730531,0.9988724589347839,0.0009204846573993564,0.0053501129150390625
cgr_tmlp_v3,0.016259669417872404,0.01220159799106213,0.9988601803779602,0.000930469308514148,0.007501840591430664
pr_tmlp_residual,0.0162991017047455,0.013178356181402506,0.9988546967506409,0.0009349877364002168,0.005471229553222656
hre_tmlp_no_alpha,0.01660003067366742,0.011893974205621216,0.9988119602203369,0.0009698317153379321,0.00633549690246582
sga_tmlp_lite_no_featmix,0.016616469053387463,0.012116118146423549,0.9988096356391907,0.0009717533830553293,0.007367610931396484
tmlp,0.016851588311706894,0.012969119504524507,0.9987757205963135,0.0009994481224566698,0.003651857376098633
pr_tmlp_residual_no_sparse,0.01735954524600704,0.012543033843652518,0.9987007975578308,0.001060608890838921,0.00527501106262207
ggpl_tmlp,0.017719590655480306,0.014028768143786952,0.9986463189125061,0.0011050603352487087,0.0044558048248291016
pr_tmlp_residual_no_balance,0.017736048367200562,0.01360843117969357,0.9986438155174255,0.0011071141343563795,0.005219221115112305
iggpl_cgr_tmlp,0.017757984710148673,0.013457935460935211,0.9986404776573181,0.00110985420178622,0.00985574722290039
agr_tmlp_rex2_lite,0.017860832699697397,0.013093098738850006,0.9986246824264526,0.001122747198678553,0.007121562957763672
tmlp-sr,0.0179823316366216,0.013560383393302011,0.9986059069633484,0.0011380740907043219,0.0
baseline_tmlp,0.018207394124135006,0.01260201805405381,0.9985707998275757,0.0011667401995509863,0.004576444625854492
agr_tmlp_switch_hardlite,0.01827944820963405,0.013474098333967843,0.9985594749450684,0.001175993005745113,0.010418415069580078
tmlp-sr-pee,0.01845204084148321,0.013214437941269752,0.9985321164131165,0.0011983050499111414,0.0
agr_tmlp_gate_from_h_only,0.018556557278311445,0.013706656451024202,0.9985154271125793,0.0012119184248149395,0.004139900207519531
tmlp-sr-lgr,0.018573571643086505,0.013402471954985895,0.9985126852989197,0.001214141957461834,0.0
cgr_tmlp,0.01857566940844015,0.013182520263317787,0.9985123872756958,0.0012144161155447364,0.006605625152587891
hre_tmlp_no_balance,0.018825187684228445,0.012764544335656103,0.9984721541404724,0.0012472603702917695,0.00662684440612793
hre_tmlp_no_div,0.018842992570768068,0.01287887390089848,0.9984692335128784,0.001249621040187776,0.006724357604980469
hre_tmlp,0.018940002917240233,0.012902931055120526,0.9984534382820129,0.0012625211384147406,0.0066967010498046875
agr_tmlp_no_err_head,0.01907919374325605,0.01495758974877881,0.998430609703064,0.0012811459600925446,0.003643035888671875
agr_tmlp,0.01934453632568617,0.013784817877017685,0.9983866810798645,0.0013170286547392607,0.004251241683959961
agr_tmlp_no_res_reg,0.019345202324153262,0.013785380832298078,0.998386561870575,0.001317119225859642,0.004146575927734375
agr_tmlp_no_gate_reg,0.01944090193931792,0.0136715199000228,0.9983705878257751,0.001330183120444417,0.00480341911315918
agr_tmlp_rex2_guarded_lite,0.019510410575467308,0.014523152095281322,0.9983589053153992,0.0013397118309512734,0.007931709289550781
hre_tmlp_no_global_residual,0.019562003752946203,0.013746769248701662,0.998350203037262,0.001346806762740016,0.006421566009521484
agr_tmlp_switch_lite,0.019799309483499734,0.014222091157112704,0.9983099102973938,0.0013796810526400805,0.00963592529296875
ggtm_tmlp,0.019799797302851946,0.015597290627598515,0.998309850692749,0.0013797491556033492,0.005988359451293945
agsi_tmlp,0.020166732754503796,0.013891713851106102,0.9982466101646423,0.0014313625870272517,0.007821321487426758
agr_tmlp_switch_lite_td,0.020266452120374544,0.015202435581091134,0.9982292652130127,0.0014455531490966678,0.009996414184570312
qcal_cgr_tmlp,0.020269251024209442,0.01545626089762897,0.9982287287712097,0.0014459524536505342,0.058386802673339844
moe_tmlp_no_diversity,0.02061281479683584,0.015593299304446528,0.9981681704521179,0.00149538554251194,0.00577235221862793
lar_tmlp,0.02085902285104138,0.014255060280641274,0.9981241822242737,0.0015313219046220183,0.008344650268554688
pr_tmlp_pure_experts,0.020864058618667247,0.01567210112930395,0.998123288154602,0.001532061374746263,0.0052661895751953125
hlr_tmlp,0.02086570417593545,0.01519110995343076,0.9981229901313782,0.0015323030529543757,0.010083198547363281
dpg_cgr_tmlp,0.020969851386037918,0.01246447229247738,0.9981042146682739,0.001547637744806707,0.008352279663085938
cgr_tmlp_stage2,0.021170289336092482,0.01431348252862863,0.9980677962303162,0.001577364862896502,0.0071294307708740234
nr_cgr_tmlp,0.02182581691406343,0.015478848609496554,0.9979462623596191,0.0016765620093792677,0.008237123489379883
ggpl_tmlp_mlphead,0.023713080247227604,0.017336369696906218,0.9975757598876953,0.0019790397491306067,0.0053424835205078125
excel_cgr_lite,0.024132275728208984,0.016353329640500514,0.9974892735481262,0.0020496284123510122,0.008391380310058594
autoint,0.025047393665483756,0.01868179707385087,0.9972952604293823,0.0022080233320593834,0.004975318908691406
ggpl_tmlp_gluhead,0.025142645212630394,0.01654233864907617,0.99727463722229,0.0022248488385230303,0.005015373229980469
apar_cgr_tmlp,0.027219883648237193,0.020364445585281388,0.996805727481842,0.002607660600915551,0.006653785705566406
node,0.02723888749560199,0.009087249950616716,0.9968012571334839,0.0026113027706742287,0.020429611206054688
moe_tmlp,0.027472322669845936,0.018538766717973054,0.9967461824417114,0.00265625212341547,0.006550312042236328
moe_tmlp_no_sparse,0.027885663197067225,0.021073139761242476,0.9966475367546082,0.002736784052103758,0.005967855453491211
