model,rmse,mae,r2,loss,time
ft-transformer,0.6577072888358766,0.419444063968168,0.5697040557861328,0.43257901072502136,1.6561729907989502
lightgbm,0.6583543746847976,0.39622049739009546,0.5688569703709857,0.4334305860045092,0.11865425109863281
node,0.6589441294235864,0.4097273755398483,0.5680841207504272,0.4342074692249298,2.939225673675537
excel-former,0.6611878839011743,0.4139606757210821,0.5651377439498901,0.43716949224472046,0.8480451107025146
tmlp,0.6645548726767231,0.4101391243768724,0.5606975555419922,0.44163334369659424,0.9420273303985596
tmlp-sr,0.6656326458152644,0.39725713166508925,0.5592714548110962,0.44306689500808716,0.0
tmlp-sr-lgr,0.6674241960795916,0.3918183872916181,0.5568957924842834,0.4454552233219147,0.0
agr_tmlp_softgate,0.6687718615557846,0.39189858533160304,0.5551045536994934,0.44725584983825684,0.7794313430786133
baseline_tmlp,0.6689211746729291,0.43597535062129467,0.554905891418457,0.44745564460754395,0.45766544342041016
pr_tmlp_residual_no_sparse,0.6690872469181847,0.3916782269861372,0.5546848773956299,0.4476777911186218,0.9841406345367432
hre_tmlp_dense_routing,0.6693067126571928,0.3928360470728762,0.5543926954269409,0.4479715824127197,1.1579947471618652
pr_tmlp_residual,0.6694603359316673,0.3910123537764072,0.554188072681427,0.4481772184371948,1.0259575843811035
tmlp-sr-pee,0.6705492691417919,0.3907092343915366,0.5527366399765015,0.44963639974594116,0.0
agr_tmlp_no_gate_reg,0.6709481521827781,0.395667535583069,0.5522043704986572,0.45017147064208984,0.7696990966796875
hre_tmlp,0.6711619473785907,0.4043537492330316,0.5519189238548279,0.45045846700668335,1.1771225929260254
moe_tmlp,0.6712147417293242,0.39268602219986093,0.5518484115600586,0.4505293071269989,0.9075803756713867
agr_tmlp_rex2_guarded_lite,0.6712191373710893,0.3952000564098235,0.5518425703048706,0.45053526759147644,1.462749719619751
pr_tmlp_residual_no_sep,0.6713399840450336,0.3905468415562048,0.5516811609268188,0.45069748163223267,0.9086329936981201
moe_tmlp_no_diversity,0.6716494379244258,0.3988592447210202,0.5512677431106567,0.45111310482025146,0.9129314422607422
agsi_tmlp,0.6724867670823211,0.3977025869247157,0.5501482486724854,0.4522385895252228,1.486799716949463
agr_tmlp,0.6731841921876849,0.4048701340114853,0.5492146611213684,0.4531770348548889,0.7739348411560059
pr_tmlp_residual_no_balance,0.6731940423397154,0.39524875339879983,0.549201488494873,0.45319032669067383,0.9514603614807129
sga_tmlp_lite_no_featmix,0.6732967852212179,0.40743146450143897,0.5490638613700867,0.4533286690711975,1.2455387115478516
adr_tmlp,0.6733570248326107,0.39699531829412393,0.5489831566810608,0.4534097909927368,0.960625410079956
hre_tmlp_no_alpha,0.673650090447299,0.3970210078929597,0.5485904812812805,0.45380455255508423,1.145538568496704
agr_tmlp_no_err_head,0.674283531381637,0.4035582955410071,0.547741174697876,0.4546584188938141,0.6564903259277344
agr_tmlp_gate_from_h_only,0.6751218975715467,0.40387664391080236,0.5466158390045166,0.4557896554470062,0.7318966388702393
agr_tmlp_switch_lite,0.6753225225244875,0.3924989828468526,0.5463463068008423,0.45606061816215515,1.7673425674438477
xgboost,0.6753759844995719,0.421556362920235,0.5462744832038879,0.45613282918930054,0.051041364669799805
dcnv2,0.6755709315082432,0.44042671436944403,0.5460125207901001,0.456396222114563,0.49623560905456543
hre_tmlp_no_div,0.6761971961394276,0.40874088898409155,0.5451704263687134,0.4572427570819855,1.1993229389190674
sr_agr_tmlp_lite,0.676618318644832,0.403855037229647,0.544603705406189,0.45781248807907104,0.7719576358795166
hre_tmlp_no_balance,0.6768306309925038,0.4087201167678636,0.544317901134491,0.4580998718738556,1.5729081630706787
agr_tmlp_no_res_reg,0.6769273407247974,0.41025708195482125,0.5441876649856567,0.45823076367378235,0.9833486080169678
agr_tmlp_rex2_lite,0.6776594472624717,0.3908496331155682,0.543201208114624,0.45922237634658813,1.2617173194885254
agr_tmlp_switch_lite_td,0.6778326117112113,0.39404131245120055,0.542967677116394,0.4594572186470032,1.767690658569336
moe_tmlp_no_sparse,0.6780948685288732,0.4098855960505432,0.5426139831542969,0.4598127603530884,0.8723022937774658
pr_tmlp_pure_experts,0.6782004942896693,0.4032290991271559,0.5424714684486389,0.45995599031448364,0.9689280986785889
agr_tmlp_switch_hardlite,0.6785161089618488,0.4117531285580185,0.542045533657074,0.46038419008255005,1.8372771739959717
catboost,0.6809559880013989,0.4428891707355411,0.5387461500545943,0.46370116814992846,0.0164339542388916
hre_tmlp_no_global_residual,0.6846640627387162,0.4328703066265156,0.5337089896202087,0.4687649607658386,1.1432321071624756
sga_tmlp_lite_no_beta_reg,0.7160681967567777,0.4667005578636392,0.4899523854255676,0.5127537846565247,1.2228646278381348
sga_tmlp_lite,0.7241839741967242,0.4669304529511322,0.4783253073692322,0.5244425535202026,1.2120375633239746
sga_tmlp_lite_no_corr_reg,0.7252803234190507,0.4531166907409734,0.4767445921897888,0.5260316729545593,1.3103563785552979
sga_tmlp_lite_topk4,0.7332107506807185,0.47935980804444966,0.46523916721343994,0.5375980734825134,1.2442734241485596
sga_tmlp_lite_topk12,0.7339410857537828,0.47002140044910234,0.46417325735092163,0.5386697053909302,1.2180225849151611
mlp,0.7596310569167284,0.5486484111966519,0.4260059595108032,0.5770394802093506,0.11567306518554688
autoint,0.7610949846004842,0.5277636018081111,0.42379146814346313,0.5792657732963562,0.5140092372894287
