model,rmse,mae,r2,loss,time
sga_tmlp_lite,0.027372335322983776,0.01976529857986442,0.07139122486114502,0.810706377029419,0.020320892333984375
sga_tmlp_lite_topk4,0.027372340354146166,0.01976530763990547,0.07139086723327637,0.8107067346572876,0.019508838653564453
sga_tmlp_lite_topk12,0.027372343372843156,0.019765314887938312,0.07139062881469727,0.8107067942619324,0.018909692764282227
sga_tmlp_lite_no_corr_reg,0.027372482232544855,0.019765566757079522,0.07138121128082275,0.8107150793075562,0.01981329917907715
sga_tmlp_lite_no_beta_reg,0.02737248424499912,0.01976542904445555,0.07138115167617798,0.8107151389122009,0.018892765045166016
cgr_tmlp_v3,0.027429532209772078,0.01982098884019501,0.06750637292861938,0.8140978813171387,0.019959211349487305
agr_tmlp_no_err_head,0.027443348631043588,0.020162287834608605,0.06656670570373535,0.8149183392524719,0.009757757186889648
scgr_tmlp,0.027456748822244876,0.020194467288412565,0.0656549334526062,0.8157142996788025,0.022843360900878906
agsi_tmlp,0.02749173608149088,0.019543804132280962,0.06327217817306519,0.8177945613861084,0.023478031158447266
lightgbm,0.027492703070378162,0.019705303491555498,0.06320629850244763,0.8178520922861786,0.010542631149291992
sr_agr_tmlp_lite,0.027493558408709165,0.019837063165027202,0.06314802169799805,0.8179029822349548,0.013040781021118164
moe_tmlp_no_sparse,0.027506584680891972,0.019900463520291956,0.06226003170013428,0.818678081035614,0.01473546028137207
moe_tmlp,0.027507631041984233,0.01985266636772476,0.062188684940338135,0.8187404870986938,0.014142274856567383
tmlp-sr,0.027508090627242264,0.019911129000616867,0.06215733289718628,0.8187678456306458,0.0
cgr_tmlp,0.027509043816633372,0.019882910596760284,0.062092363834381104,0.8188245892524719,0.01840662956237793
pr_tmlp_residual_no_balance,0.02751854987337395,0.019617435085900192,0.061443984508514404,0.819390594959259,0.014098644256591797
dpg_cgr_tmlp,0.027519804955980227,0.019965358782330078,0.06135839223861694,0.8194653391838074,0.022197961807250977
ggpl_cgr_tmlp,0.027519878017239704,0.01971017547810361,0.061353445053100586,0.819469690322876,0.023273706436157227
pr_tmlp_residual_no_sep,0.027520709700919466,0.019621887190072518,0.061296701431274414,0.8195192813873291,0.013770341873168945
pr_tmlp_residual,0.027520727715450312,0.01962180202568664,0.06129544973373413,0.8195202946662903,0.013749361038208008
moe_tmlp_no_diversity,0.027521091005972297,0.019854974866184483,0.06127065420150757,0.8195419311523438,0.013651847839355469
pr_tmlp_residual_no_sparse,0.027522327959225427,0.01962565797915783,0.06118631362915039,0.8196156024932861,0.013900279998779297
tmlp,0.02752495880195213,0.02017775151267398,0.06100684404373169,0.8197723031044006,0.007939815521240234
node,0.027527007062636333,0.019770357706787145,0.0608670711517334,0.8198941946029663,0.048568010330200195
catboost,0.027531101922445633,0.01972054853775895,0.06058764558622587,0.8201382634710185,0.0031337738037109375
agr_tmlp_switch_lite,0.027535282605207465,0.01988511762276024,0.0603022575378418,0.8203873634338379,0.03078603744506836
agr_tmlp_switch_lite_td,0.027543934650224478,0.01977682657609736,0.05971169471740723,0.8209030032157898,0.03293204307556152
sgg_cgr_tmlp,0.027548297146458702,0.01994372340430095,0.059413790702819824,0.8211631774902344,0.0250246524810791
lgbm_cgr_hybrid,0.027548448116655435,0.019668082527381947,0.05940347909927368,0.8211720585823059,0.000705718994140625
qcal_cgr_tmlp,0.027549712834482654,0.01980058200373236,0.059317171573638916,0.821247398853302,0.23903679847717285
ggpl_tmlp,0.027553777534353008,0.019964452778225006,0.059039533138275146,0.8214897513389587,0.009699106216430664
agr_tmlp_rex2_guarded_lite,0.02755563274157547,0.01950770892873488,0.05891275405883789,0.8216004371643066,0.02247762680053711
nr_cgr_tmlp,0.027556998078309004,0.019715602442692992,0.05881953239440918,0.821681797504425,0.023083209991455078
ggpl_tmlp_mlphead,0.027560946779146698,0.01971670051966834,0.05854982137680054,0.8219173550605774,0.01034855842590332
lar_tmlp,0.027567523692992976,0.020159049775937077,0.05810046195983887,0.8223097324371338,0.02557086944580078
