model,rmse,mae,r2,loss,time
ft-transformer,25242.20003391408,15003.713564760983,0.9169306755065918,0.10918819904327393,0.007833242416381836
ggpl_tabm_cgr,27369.59232345126,18007.923561304808,0.9023386240005493,0.1283683478832245,0.003987312316894531
ggpl_tmlp_gfg,28470.882568821486,17408.833644367754,0.8943211436271667,0.13890668749809265,0.007056713104248047
catboost,29153.19535973643,16298.201882635418,0.889195221149054,0.145644342922813,0.002206563949584961
cgr_tmlp_stage2,29839.434387613175,16256.458152070642,0.8839173316955566,0.15258169174194336,0.004414558410644531
ggpl_tmlp_gluhead,29842.89034016618,16304.114519387484,0.8838904500007629,0.15261705219745636,0.006414175033569336
dcnv2,29874.6963255673,17685.484400197864,0.8836427927017212,0.15294253826141357,0.0023920536041259766
autoint,30208.323431926856,17872.070017375052,0.881029486656189,0.15637759864330292,0.0037963390350341797
dpg_cgr_tmlp,30989.501759988256,17672.04782254994,0.8747968077659607,0.1645699292421341,0.005284547805786133
ggpl_tmlp_mlphead,31155.507726436586,16143.48572024703,0.873451828956604,0.16633780300617218,0.004119873046875
xgboost,31337.01951054305,17097.50322277844,0.8719730377197266,0.16828161478042603,0.0015285015106201172
lgbm_cgr_hybrid,31402.973743974442,17392.41697859019,0.8714334964752197,0.16899071633815765,0.0006406307220458984
ggpl_tmlp,31472.651139259448,19105.599979922175,0.8708623647689819,0.1697414666414261,0.003195524215698242
lightgbm,31495.60231994412,16952.555197525508,0.8706739533595713,0.1699891221396496,0.0015120506286621094
adr_tmlp,31576.47276708032,16470.34720464796,0.8700089454650879,0.17086318135261536,0.0033347606658935547
ggtm_tmlp,31975.60283038581,17371.467573724687,0.8667019605636597,0.17520993947982788,0.004160881042480469
sga_tmlp_lite_topk12,32032.162109049463,18005.019739754498,0.8662300109863281,0.17583031952381134,0.004845380783081055
sga_tmlp_lite,32032.32634446952,18005.249677799642,0.8662286400794983,0.1758321225643158,0.004820585250854492
sga_tmlp_lite_topk4,32032.53129823411,18005.31683792174,0.8662269115447998,0.17583440244197845,0.004544973373413086
sga_tmlp_lite_no_corr_reg,32033.8858603402,18005.738011568785,0.8662155866622925,0.17584927380084991,0.004708290100097656
sga_tmlp_lite_no_beta_reg,32034.87663603134,18006.69874280691,0.8662073612213135,0.17586013674736023,0.00471949577331543
tmlp,32213.70647494222,18877.65738721937,0.8647094368934631,0.17782904207706451,0.003999471664428711
iggpl_cgr_tmlp,32367.414232928593,18864.66930259019,0.8634152412414551,0.1795300990343094,0.0052454471588134766
agsi_tmlp,32516.90722652831,18474.330119736493,0.8621506690979004,0.1811923235654831,0.0056345462799072266
mlp,32814.07799848456,18097.00861749798,0.8596195578575134,0.18451926112174988,0.0009996891021728516
tmlp-sr-pee,32817.37172810071,18872.439387224615,0.8595913648605347,0.18455630540847778,0.0
sgg_cgr_tmlp,32835.61242223442,18746.97858761251,0.8594352602958679,0.18476150929927826,0.005601644515991211
ggpl_cgr_tmlp,32910.455799541756,18882.211754143238,0.8587937355041504,0.1856047362089157,0.005098819732666016
pr_tmlp_residual_no_balance,33119.47665450031,18209.094308048487,0.8569943904876709,0.18796983361244202,0.0038836002349853516
pr_tmlp_residual_no_sparse,33225.090466023365,18247.66015443206,0.8560808897018433,0.18917058408260345,0.0037577152252197266
lar_tmlp,33226.65549939114,19239.635647326708,0.8560672998428345,0.18918843567371368,0.005453348159790039
agpl_cgr_tmlp,33270.08063756978,18970.971254490316,0.8556908369064331,0.18968325853347778,0.013007879257202148
cgr_tmlp,33286.43013557625,18782.37311026454,0.8555489778518677,0.18986976146697998,0.0047533512115478516
agr_tmlp_rex2_guarded_lite,33303.60583331259,18866.39839115739,0.8553998470306396,0.19006571173667908,0.0051801204681396484
pr_tmlp_residual_no_sep,33340.92619820756,18254.354538805783,0.8550755977630615,0.1904919445514679,0.0035686492919921875
pr_tmlp_residual,33341.19222145882,18254.442188456655,0.8550733327865601,0.19049499928951263,0.0036575794219970703
agr_tmlp_gate_from_h_only,33427.97074425316,18631.13534514606,0.8543179035186768,0.19148790836334229,0.002737760543823242
agr_tmlp_rex2_lite,33515.51568573066,19323.328542530537,0.853553831577301,0.19249218702316284,0.0046656131744384766
agr_tmlp_no_err_head,33517.04510589717,18784.294572740793,0.8535404801368713,0.1925097554922104,0.002557992935180664
cgr_tmlp_v3,33549.76109692806,18724.357009537518,0.8532544374465942,0.19288575649261475,0.004884004592895508
hlr_tmlp,33564.61686758187,19020.0823783502,0.8531244397163391,0.1930566281080246,0.006645917892456055
scgr_tmlp,33572.030632182425,19122.103157043457,0.8530595302581787,0.19314192235469818,0.00556182861328125
sga_tmlp_lite_no_featmix,33619.43147621059,18925.188540749252,0.8526443243026733,0.19368767738342285,0.004841804504394531
hre_tmlp_no_alpha,33679.38684505418,19003.815969116986,0.8521182537078857,0.19437912106513977,0.0043032169342041016
hre_tmlp_no_global_residual,33684.05841773805,18251.048894830048,0.8520772457122803,0.1944330483675003,0.004502773284912109
agr_tmlp_switch_hardlite,33691.97240854427,19438.677759692073,0.8520077466964722,0.19452442228794098,0.006751537322998047
tmlp-sr,33704.39847549707,19096.681343369186,0.8518985509872437,0.19466795027256012,0.0
rgc_cgr_tmlp,33718.61361330151,19064.50822996348,0.8517736196517944,0.1948321908712387,0.012205123901367188
hre_tmlp_dense_routing,33721.43477684105,19061.188926301897,0.8517487645149231,0.19486479461193085,0.004426240921020508
hre_tmlp_no_div,33721.89893104632,19060.113226041198,0.8517447113990784,0.19487015902996063,0.004377126693725586
hre_tmlp_no_balance,33722.25348898239,19060.727911904454,0.8517415523529053,0.19487425684928894,0.004411935806274414
hre_tmlp,33723.33905773753,19061.398374818265,0.8517320156097412,0.19488680362701416,0.004515886306762695
baseline_tmlp,33784.60673642598,19826.810903280973,0.851192831993103,0.19559557735919952,0.002794504165649414
agr_tmlp_no_gate_reg,33813.039460337364,18998.790343031287,0.8509422540664673,0.19592493772506714,0.002939462661743164
agr_tmlp,33813.69394306598,18999.002068161964,0.8509364724159241,0.1959325075149536,0.0028667449951171875
agr_tmlp_no_res_reg,33813.69137144939,18998.999791547656,0.8509364724159241,0.19593247771263123,0.003026247024536133
sr_agr_tmlp_lite,33972.45287583304,19705.12586849928,0.8495334386825562,0.1977766901254654,0.0032930374145507812
tmlp-sr-lgr,34056.01571400529,19142.592685818672,0.848792314529419,0.198750838637352,0.0
cgr_tmlp_v2,34089.98216712009,19222.50184804201,0.8484905362129211,0.19914749264717102,0.005241870880126953
qcal_cgr_tmlp,34227.92952350457,18686.474147446454,0.847261905670166,0.20076246559619904,0.011225700378417969
agr_tmlp_softgate,34283.716499438466,18407.6184906587,0.8467636108398438,0.2014174461364746,0.0031528472900390625
agr_tmlp_switch_lite_td,34361.15036455195,19462.830360889435,0.8460705876350403,0.20232832431793213,0.0066106319427490234
agr_tmlp_switch_lite,34409.81309627924,20111.94090910256,0.8456342816352844,0.20290181040763855,0.006452798843383789
apar_cgr_tmlp,34568.34221678034,19273.602732807398,0.8442086577415466,0.20477569103240967,0.004381656646728516
moe_tmlp_no_sparse,34855.66948646056,19334.470292955637,0.8416080474853516,0.20819394290447235,0.0049054622650146484
moe_tmlp,34858.655563011154,19338.35875019431,0.8415809273719788,0.20822963118553162,0.004898548126220703
moe_tmlp_no_diversity,34863.00200509378,19322.502131536603,0.8415414094924927,0.20828157663345337,0.0046689510345458984
nr_cgr_tmlp,35158.13669526722,19250.281095832586,0.8388471603393555,0.21182292699813843,0.005145072937011719
pr_tmlp_pure_experts,35703.608637965044,18925.448074780405,0.8338078856468201,0.21844671666622162,0.0037674903869628906
node,41781.407900633036,19170.351444080472,0.7724104523658752,0.29914888739585876,0.015313148498535156
