model,rmse,mae,r2,loss,time
dcnv2,1842.369607816993,1174.3231378192431,0.5840083360671997,0.4009685516357422,0.1223444938659668
mlp,1848.2619069052269,1183.0342485270667,0.5813431739807129,0.40353745222091675,0.056684255599975586
xgboost,1850.5074545661,1179.6779450275571,0.5803252458572388,0.40451857447624207,0.029146909713745117
lightgbm,1856.4155777272206,1179.0233448816691,0.5776411926593529,0.40710571428789327,0.12607860565185547
lgbm_cgr_hybrid,1858.1045842883466,1173.3975031832015,0.5768723487854004,0.4078468382358551,0.0008356571197509766
agr_tmlp_gate_from_h_only,1862.0360974102648,1152.95983726142,0.5750797986984253,0.40957456827163696,0.707118034362793
nr_cgr_tmlp,1864.7314013052176,1155.644828034725,0.5738488435745239,0.41076111793518066,0.7713406085968018
baseline_tmlp,1864.898751894556,1177.3860129713648,0.5737723112106323,0.4108348488807678,0.6026349067687988
sgg_cgr_tmlp,1865.162126164872,1168.7864986828936,0.573651909828186,0.4109509289264679,0.7623324394226074
agr_tmlp_rex2_guarded_lite,1866.4433639158337,1157.382940098374,0.573065996170044,0.41151565313339233,0.7748141288757324
ggpl_tmlp,1866.5156781632775,1162.8137057086715,0.5730329155921936,0.41154760122299194,0.6554267406463623
apar_cgr_tmlp,1867.6449713320396,1173.8205637348874,0.5725160837173462,0.41204574704170227,0.7195239067077637
moe_tmlp_no_sparse,1867.8073334043888,1154.1809812969586,0.5724417567253113,0.4121173620223999,0.776308536529541
autoint,1867.848799657728,1187.258524177094,0.5724227428436279,0.41213569045066833,1.1908152103424072
agr_tmlp,1867.926799643105,1193.2723312199669,0.5723870992660522,0.41217008233070374,0.6946439743041992
agr_tmlp_no_res_reg,1868.2904189278652,1193.69209677248,0.5722205638885498,0.4123305678367615,0.6762237548828125
moe_tmlp,1868.2986560936934,1158.2673872447558,0.572216808795929,0.4123342037200928,0.7756569385528564
agr_tmlp_softgate,1868.764671993127,1163.7828690179958,0.5720033645629883,0.41253992915153503,0.6886067390441895
agr_tmlp_no_err_head,1869.3661420349608,1172.1973430897633,0.5717278122901917,0.4128055274486542,0.6791810989379883
moe_tmlp_no_diversity,1869.6016965523827,1158.4335245714683,0.5716198682785034,0.4129095673561096,0.7761685848236084
sr_agr_tmlp_lite,1870.1993900575399,1164.909498603578,0.5713459253311157,0.4131736159324646,0.6805951595306396
sga_tmlp_lite_no_featmix,1870.725553014375,1164.3142309898612,0.5711046457290649,0.4134061634540558,0.7308347225189209
ggpl_tmlp_mlphead,1870.8109174632884,1199.78212234885,0.5710655450820923,0.413443922996521,0.6444828510284424
scgr_tmlp,1870.8906818284881,1178.9840875701702,0.5710289478302002,0.41347911953926086,0.7589054107666016
qcal_cgr_tmlp,1871.1083814573935,1171.7537321484997,0.5709291696548462,0.41357535123825073,0.7968764305114746
agsi_tmlp,1871.338391452308,1168.9218537804918,0.5708236694335938,0.41367706656455994,0.73244309425354
tmlp-sr-pee,1872.463226569648,1177.5986271285146,0.5703074932098389,0.41417449712753296,0.0
dpg_cgr_tmlp,1872.509844255776,1159.4972890412537,0.5702861547470093,0.41419512033462524,0.7561779022216797
ggpl_tmlp_gluhead,1872.5380029316802,1211.660334235261,0.570273220539093,0.4142076373100281,0.4812357425689697
catboost,1872.8018903043076,1194.2317511275046,0.5701520846940547,0.4143243601278814,0.01258230209350586
cgr_tmlp_v3,1873.5517027177214,1164.7568881155748,0.5698078274726868,0.4146561920642853,0.7487607002258301
adr_tmlp,1873.8064556799322,1170.229621610073,0.5696908235549927,0.4147689640522003,0.8727717399597168
hlr_tmlp,1874.1459826868916,1164.6895140535416,0.5695348978042603,0.41491925716400146,0.7622506618499756
agr_tmlp_rex2_lite,1874.2923695844631,1171.6580037514796,0.5694676041603088,0.4149841368198395,0.7484619617462158
tmlp-sr,1874.487601626147,1160.3750594787853,0.5693778991699219,0.415070503950119,0.0
tmlp-sr-lgr,1874.8031871226929,1158.0351765135783,0.5692329406738281,0.4152103364467621,0.0
agr_tmlp_no_gate_reg,1875.673833426215,1159.239065158712,0.5688327550888062,0.41559603810310364,0.6917428970336914
pr_tmlp_residual_no_sparse,1876.8644234181693,1161.85165266072,0.5682852268218994,0.41612380743026733,0.8063857555389404
agr_tmlp_switch_hardlite,1877.037748618062,1190.082338468179,0.5682054758071899,0.4162006974220276,0.8007891178131104
hre_tmlp_no_div,1877.3272379218663,1167.9724604662042,0.5680722594261169,0.4163290858268738,0.8400967121124268
hre_tmlp_dense_routing,1877.5620623970344,1167.4152587639837,0.5679641962051392,0.41643327474594116,0.8273575305938721
hre_tmlp,1878.0440492435444,1168.1905373851405,0.5677423477172852,0.4166471064090729,0.8271002769470215
hre_tmlp_no_balance,1878.168909005136,1167.953730997222,0.5676848888397217,0.4167024493217468,0.8467509746551514
iggpl_cgr_tmlp,1878.6076322174638,1151.8262708354741,0.5674828290939331,0.416897177696228,0.7400045394897461
ggtm_tmlp,1878.9681103948726,1162.917584893119,0.5673168897628784,0.41705721616744995,0.6825442314147949
agpl_cgr_tmlp,1879.9818321172772,1169.1168657052185,0.5668498277664185,0.4175073206424713,0.8625116348266602
