model,rmse,mae,r2,loss,time
node,8.663913205075659,5.947425000582882,0.37382078170776367,0.6301690340042114,1.9134275913238525
excel-former,8.66680179216394,5.98211307905035,0.3734031915664673,0.6305892467498779,3.55526065826416
baseline_tmlp,8.67823362528673,5.997070007582579,0.37174904346466064,0.6322539448738098,0.9896876811981201
ggpl_tmlp_mlphead,8.68975745202207,5.9557127210726435,0.3700794577598572,0.6339342594146729,1.1074645519256592
scgr_tmlp,8.692626424601855,5.744442852917359,0.36966341733932495,0.6343529224395752,1.1798095703125
ggpl_cgr_tmlp,8.69323326414177,5.748758452425136,0.3695753812789917,0.6344414949417114,1.1215524673461914
excel_cgr_lite,8.696125175078222,5.952931065435735,0.3691558837890625,0.634863555431366,3.0601677894592285
ggpl_tmlp_gfg,8.701919576075507,5.9643569306384165,0.3683149814605713,0.6357099413871765,1.6320767402648926
rgc_cgr_tmlp,8.704338786971523,5.73390365671213,0.36796367168426514,0.6360634565353394,4.661493301391602
agsi_tmlp,8.704546372968068,5.804327162939728,0.3679335117340088,0.6360937356948853,1.1269023418426514
ggpl_tmlp,8.706997878696047,6.018448293175595,0.3675774335861206,0.6364521980285645,1.1010007858276367
ggpl_tmlp_gluhead,8.707494864642708,6.001001795858883,0.3675052523612976,0.6365248560905457,0.913555383682251
agr_tmlp_rex2_lite,8.70919475798844,5.722937714459704,0.36725831031799316,0.6367733478546143,1.2139594554901123
iggpl_cgr_tmlp,8.711050809327581,5.797042555871883,0.3669885993003845,0.6370447874069214,1.1134364604949951
lar_tmlp,8.71307188226744,5.711997142780206,0.3666948080062866,0.6373404264450073,1.1532692909240723
hlr_tmlp,8.715099818495355,5.769665105572699,0.36639994382858276,0.6376371383666992,1.2040107250213623
agr_tmlp_switch_lite_td,8.718992231571505,5.7563865380187735,0.3658338785171509,0.6382068395614624,1.2294788360595703
cgr_tmlp,8.71960375013894,5.735036225108729,0.3657448887825012,0.638296365737915,1.1073284149169922
dcnv2,8.721754310041456,6.004579046641709,0.3654319643974304,0.6386112570762634,0.22201156616210938
agr_tmlp,8.722540640199183,5.848349010134598,0.36531758308410645,0.6387263536453247,1.1003563404083252
cgr_tmlp_v3,8.724140757829012,5.739451355325684,0.365084707736969,0.6389607787132263,1.1037027835845947
apar_cgr_tmlp,8.727757033059651,5.72833253910818,0.36455821990966797,0.6394906044006348,1.0750789642333984
sr_agr_tmlp_lite,8.727977890951646,5.792144083714277,0.36452609300613403,0.639522910118103,1.083033800125122
sga_tmlp_lite_topk12,8.728596100638358,5.8532806591952635,0.3644360303878784,0.6396135687828064,1.320143461227417
tmlp-sr,8.728677440758588,5.827796243953003,0.3644241690635681,0.6396255493164062,0.0
sga_tmlp_lite,8.728733564999605,5.8525819926484814,0.3644160032272339,0.6396337747573853,1.3238377571105957
sga_tmlp_lite_topk4,8.72878358847548,5.853086151469483,0.3644087314605713,0.6396411061286926,1.303636074066162
cgr_tmlp_v2,8.729020687717677,5.76588423967894,0.36437422037124634,0.6396757364273071,1.0839481353759766
sga_tmlp_lite_no_beta_reg,8.731053457913198,5.853157058968179,0.3640781044960022,0.6399738192558289,1.3142426013946533
ft-transformer,8.731210399482107,6.047971183205959,0.3640552759170532,0.6399967670440674,13.48796272277832
moe_tmlp_no_diversity,8.73208328465822,5.780804088143043,0.36392807960510254,0.6401246786117554,1.2287802696228027
moe_tmlp,8.732100765864088,5.771660273448845,0.363925576210022,0.6401272416114807,1.2592885494232178
moe_tmlp_no_sparse,8.732654454787896,5.768548800363874,0.3638448715209961,0.6402084827423096,1.2367064952850342
agr_tmlp_switch_lite,8.735174881203092,5.712540333251866,0.3634776473045349,0.6405780911445618,1.2051279544830322
dpg_cgr_tmlp,8.73613107911134,5.7074258859606175,0.3633382320404053,0.6407183408737183,1.1253912448883057
qcal_cgr_tmlp,8.736399673464096,5.7603274336802315,0.36329907178878784,0.64075767993927,4.376926422119141
agr_tmlp_no_res_reg,8.738163413978985,5.857928678261146,0.36304205656051636,0.6410164833068848,1.0699799060821533
nr_cgr_tmlp,8.739142438991491,5.965931207214965,0.3628992438316345,0.6411601305007935,1.1654183864593506
agr_tmlp_switch_hardlite,8.73923871063182,5.790059793569128,0.3628852367401123,0.6411742568016052,1.2709672451019287
agpl_cgr_tmlp,8.739608757570624,5.790103378912363,0.3628312945365906,0.6412284970283508,4.762096643447876
agr_tmlp_rex2_guarded_lite,8.73986790295882,5.721575509851732,0.3627934455871582,0.6412665247917175,1.1616148948669434
sga_tmlp_lite_no_corr_reg,8.740875572417778,5.830946098161121,0.36264657974243164,0.64141446352005,1.3254454135894775
tmlp-sr-pee,8.74101568654049,5.8350723941632054,0.3626261353492737,0.6414349675178528,0.0
sgg_cgr_tmlp,8.741485966219146,5.7573512703175425,0.3625575304031372,0.6415041089057922,1.1422326564788818
hre_tmlp_no_global_residual,8.7456126209066,5.84611770077197,0.36195552349090576,0.6421098709106445,1.325537919998169
sga_tmlp_lite_no_featmix,8.74570719769704,5.823561309856586,0.36194169521331787,0.6421237587928772,1.3241233825683594
agr_tmlp_softgate,8.745774983866113,5.8097486592161545,0.36193180084228516,0.6421337127685547,1.088099479675293
hre_tmlp_no_alpha,8.747137496221848,5.766660318999527,0.36173301935195923,0.6423338055610657,1.285768985748291
agr_tmlp_gate_from_h_only,8.748239283530307,5.9055694099995435,0.3615722060203552,0.6424955725669861,1.1095707416534424
hre_tmlp_dense_routing,8.749744226566701,5.780820351330817,0.3613525629043579,0.6427167057991028,1.2936217784881592
hre_tmlp_no_balance,8.750936554927486,5.781373950242653,0.361178457736969,0.6428918838500977,1.3289604187011719
