model,rmse,mae,r2,loss,time
cgr_tmlp_stage2,10788.021679687035,2856.6736991599028,0.03555452823638916,0.8232890963554382,0.07886958122253418
nr_cgr_tmlp,10796.92647164469,2691.3778945546655,0.03396177291870117,0.8246486186981201,0.09434127807617188
iggpl_cgr_tmlp,10797.309635969565,2820.234983956092,0.0338931679725647,0.8247070908546448,0.0948336124420166
agr_tmlp_gate_from_h_only,10798.933836396385,2906.618654924445,0.03360253572463989,0.8249552845954895,0.04666900634765625
agr_tmlp_switch_hardlite,10810.103497388642,2713.3841338480124,0.03160226345062256,0.8266629576683044,0.12422537803649902
tmlp-sr-lgr,10810.26834726765,2836.93361831308,0.03157275915145874,0.8266879916191101,0.0
tmlp,10810.771065418892,2951.0237382423948,0.031482696533203125,0.8267647624015808,0.029396533966064453
ggpl_cgr_tmlp,10811.331042533711,2700.9389536372328,0.03138238191604614,0.8268505334854126,0.09357190132141113
pr_tmlp_residual_no_sep,10814.003880907056,2808.410601118201,0.030903398990631104,0.8272594809532166,0.06076836585998535
pr_tmlp_residual_no_balance,10814.013620363523,2812.7901990228274,0.030901670455932617,0.8272609710693359,0.05967283248901367
pr_tmlp_residual,10814.099327202197,2808.0922298627556,0.030886292457580566,0.8272740840911865,0.06269168853759766
apar_cgr_tmlp,10814.151530125613,2684.919404990942,0.03087693452835083,0.8272820115089417,0.08083486557006836
pr_tmlp_residual_no_sparse,10814.395789710201,2808.7435001660488,0.030833125114440918,0.8273193836212158,0.06599831581115723
agr_tmlp_rex2_guarded_lite,10814.81690053675,2833.7282912382216,0.030757665634155273,0.8273838758468628,0.0957798957824707
agsi_tmlp,10816.60867818371,2793.3984308572544,0.030436456203460693,0.8276580572128296,0.09724855422973633
cgr_tmlp_v3,10817.328032352832,2753.394205627934,0.030307531356811523,0.827768087387085,0.08680987358093262
moe_tmlp_no_diversity,10818.347587226728,2634.8121631551767,0.0301247239112854,0.8279241323471069,0.05977511405944824
adr_tmlp,10818.459350767242,2670.1042457684234,0.030104637145996094,0.8279412388801575,0.059781789779663086
ggtm_tmlp,10818.815662360688,2654.2432626611553,0.030040740966796875,0.8279958367347717,0.06753063201904297
baseline_tmlp,10820.372781559858,3061.5802384222043,0.029761552810668945,0.828234076499939,0.029353618621826172
excel-former,10821.202842060893,2864.262167503388,0.02961266040802002,0.8283611536026001,0.08301424980163574
hre_tmlp_no_global_residual,10821.902815453925,2875.6455786914157,0.029487133026123047,0.8284682631492615,0.07289004325866699
scgr_tmlp,10822.000527826825,2744.9670230255288,0.029469609260559082,0.8284832835197449,0.0997321605682373
hlr_tmlp,10822.995119516228,2651.7281828935957,0.029291212558746338,0.8286356925964355,0.12108278274536133
moe_tmlp_no_sparse,10823.65566473869,2730.331158021436,0.029172778129577637,0.8287368416786194,0.05895853042602539
agr_tmlp_softgate,10824.041385821556,2697.6205932507582,0.029103517532348633,0.828795850276947,0.05260133743286133
excel_cgr_lite,10824.107552537309,2900.07990816611,0.02909165620803833,0.8288059830665588,0.11800932884216309
ggpl_tmlp_gluhead,10825.621881337484,2873.304123759881,0.0288199782371521,0.8290379047393799,0.044473886489868164
ggpl_tmlp_mlphead,10825.775209425841,2969.4497625496297,0.02879244089126587,0.8290614485740662,0.04366326332092285
agr_tmlp_switch_lite,10826.721592603337,2899.967937863694,0.02862262725830078,0.8292065262794495,0.11450576782226562
sga_tmlp_lite_no_corr_reg,10828.297028147763,2846.0700052201864,0.028339922428131104,0.8294476866722107,0.08478212356567383
sga_tmlp_lite_topk12,10828.298195340294,2846.059906632785,0.028339743614196777,0.829447865486145,0.08910512924194336
sga_tmlp_lite_topk4,10828.31181257719,2846.032977066381,0.028337299823760986,0.8294498920440674,0.08153247833251953
sga_tmlp_lite_no_beta_reg,10828.312201640852,2846.017917769379,0.02833724021911621,0.8294498920440674,0.08266210556030273
sga_tmlp_lite,10828.316481340185,2846.0352802529815,0.028336405754089355,0.8294506072998047,0.08295965194702148
tmlp-sr-pee,10828.443704356972,2895.2515432108194,0.028313636779785156,0.8294700980186462,0.0
qcal_cgr_tmlp,10828.922236264596,3001.7289227532456,0.028227686882019043,0.8295434713363647,0.2886159420013428
agpl_cgr_tmlp,10829.089522918643,2724.660358275025,0.02819770574569702,0.8295691013336182,0.334209680557251
sgg_cgr_tmlp,10829.140486478751,2813.9986633152002,0.02818852663040161,0.8295767903327942,0.10379886627197266
