model,rmse,mae,r2,loss,time
mlp,2.094686330446236,1.4894842555023047,0.5946766138076782,0.4215965270996094,0.0012378692626953125
dpg_cgr_tmlp,2.126704959664637,1.4877561696422248,0.5821906328201294,0.4345838129520416,0.011203527450561523
sga_tmlp_lite_no_corr_reg,2.1404735610382093,1.4804806916579238,0.5767632126808167,0.4402291178703308,0.010358810424804688
sga_tmlp_lite_no_beta_reg,2.140757337239338,1.4804953054918357,0.5766509771347046,0.4403458535671234,0.010405540466308594
ggpl_cgr_tmlp,2.141667891086493,1.4889476778242638,0.5762907266616821,0.4407205879688263,0.011516809463500977
sga_tmlp_lite,2.142018552391957,1.4809515070833612,0.576151967048645,0.4408648610115051,0.011031627655029297
sga_tmlp_lite_topk12,2.142018552391957,1.4809515070833612,0.576151967048645,0.4408648610115051,0.010306835174560547
sga_tmlp_lite_topk4,2.1420299191424372,1.4809787157346577,0.5761474967002869,0.4408695101737976,0.010648012161254883
tmlp-sr-lgr,2.14546599429669,1.4715681758445598,0.5747865438461304,0.44228506088256836,0.0
baseline_tmlp,2.147281205799132,1.50484637539666,0.5740667581558228,0.44303378462791443,0.004524946212768555
autoint,2.1522033012690005,1.4984980105729662,0.5721118450164795,0.44506728649139404,0.0045948028564453125
agr_tmlp_rex2_lite,2.1591272428292747,1.5016704623992183,0.5693542957305908,0.4479355216026306,0.010741233825683594
adr_tmlp,2.1599171145909426,1.495413049462897,0.5690391063690186,0.44826334714889526,0.007628440856933594
dcnv2,2.1603896499841557,1.5257797310389876,0.5688505172729492,0.4484594464302063,0.0034384727478027344
ggtm_tmlp,2.162974704071733,1.490930448197716,0.5678181052207947,0.4495333731174469,0.008453130722045898
pr_tmlp_residual_no_sep,2.165618545043594,1.4974934056351685,0.5667608976364136,0.4506329596042633,0.008428573608398438
pr_tmlp_residual,2.165628928598262,1.4974883100220282,0.5667567849159241,0.4506372809410095,0.00778961181640625
ggpl_tmlp,2.1673136276110316,1.5089495938419972,0.5660824775695801,0.45133867859840393,0.005318880081176758
agr_tmlp_switch_lite,2.1675335761692094,1.5075075353232847,0.565994381904602,0.4514303505420685,0.014423847198486328
iggpl_cgr_tmlp,2.168575202400484,1.5191300520345052,0.5655771493911743,0.4518642723560333,0.011696338653564453
tmlp,2.1704138869469327,1.5212045434444832,0.5648401975631714,0.45263081789016724,0.0043981075286865234
nr_cgr_tmlp,2.17081891437235,1.5042026936990283,0.5646777153015137,0.45279979705810547,0.01192474365234375
agr_tmlp_switch_hardlite,2.172064530602563,1.4970112452597206,0.5641779899597168,0.45331957936286926,0.018023252487182617
agr_tmlp_no_err_head,2.1745105468591794,1.510292047545363,0.5631958842277527,0.45434117317199707,0.005754709243774414
pr_tmlp_pure_experts,2.176451101271229,1.5019846598283237,0.5624159574508667,0.4551524221897125,0.008065462112426758
lar_tmlp,2.176997554488602,1.4785956993705796,0.5621961355209351,0.45538097620010376,0.012721776962280273
agr_tmlp_switch_lite_td,2.178141740839414,1.5117758324056396,0.5617358684539795,0.45585981011390686,0.014667510986328125
sgg_cgr_tmlp,2.1784577710181,1.4917556490955164,0.5616086721420288,0.45599207282066345,0.013297796249389648
ggpl_tmlp_mlphead,2.178975110069641,1.5260206670112453,0.5614004135131836,0.4562087059020996,0.0055463314056396484
ggpl_tmlp_gfg,2.181846571495101,1.514014537159838,0.5602436661720276,0.45741188526153564,0.010543107986450195
agr_tmlp_no_res_reg,2.1832612811957834,1.5164516823955765,0.5596731901168823,0.45800527930259705,0.0063588619232177734
moe_tmlp,2.1833955279498625,1.5126873702958932,0.5596190690994263,0.4580616056919098,0.0077855587005615234
agr_tmlp,2.1834135689479477,1.5166491614406752,0.5596117973327637,0.4580691158771515,0.00632023811340332
agsi_tmlp,2.1835801925375935,1.5167064630525928,0.559544563293457,0.458139032125473,0.011658430099487305
tmlp-sr,2.1863256622858116,1.5013201149599098,0.5584362745285034,0.45929187536239624,0.0
ggpl_tabm_cgr,2.1868229854840275,1.525108071540906,0.5582354068756104,0.45950081944465637,0.009134531021118164
ft-transformer,2.1879657902851344,1.4965514863533613,0.5577735304832458,0.45998120307922363,0.014931201934814453
sga_tmlp_lite_no_featmix,2.188104426157237,1.5063387170412668,0.5577174425125122,0.46003955602645874,0.010800838470458984
scgr_tmlp,2.1890403428639336,1.4883998513398566,0.557339072227478,0.46043309569358826,0.012721061706542969
qcal_cgr_tmlp,2.192965869481317,1.5049714582777085,0.5557500123977661,0.462086021900177,0.014873743057250977
ggpl_tmlp_gluhead,2.19339360017364,1.5419099425065141,0.5555766820907593,0.4622662663459778,0.009198665618896484
pr_tmlp_residual_no_balance,2.1941777096870485,1.5067388668882487,0.5552588701248169,0.4625968635082245,0.008044958114624023
rgc_cgr_tmlp,2.1949279783872697,1.5218683191637439,0.5549546480178833,0.46291324496269226,0.01654505729675293
apar_cgr_tmlp,2.195249150951103,1.5085543473208674,0.5548244714736938,0.4630487561225891,0.009601354598999023
agr_tmlp_rex2_guarded_lite,2.1953167565224017,1.4950025161023461,0.5547970533370972,0.4630771577358246,0.011513948440551758
sr_agr_tmlp_lite,2.1958256035444563,1.5158062701123498,0.5545905828475952,0.4632919132709503,0.007344722747802734
moe_tmlp_no_diversity,2.197462522564749,1.518434164338096,0.5539262890815735,0.4639829695224762,0.007156848907470703
cgr_tmlp,2.197751924046158,1.536946334589615,0.5538088083267212,0.46410509943962097,0.00964498519897461
agr_tmlp_softgate,2.1983295545336543,1.5161977670313576,0.5535742044448853,0.46434909105300903,0.007017850875854492
lgbm_cgr_hybrid,2.1984736033735253,1.5183285986168116,0.5535156726837158,0.4644100069999695,0.0006654262542724609
cgr_tmlp_v3,2.1995818712174997,1.5215963287944234,0.5530654191970825,0.4648783504962921,0.01126718521118164
hre_tmlp_no_global_residual,2.2008560240151582,1.5188396020855066,0.5525474548339844,0.4654170274734497,0.00908350944519043
cgr_tmlp_v2,2.202409566844609,1.4992638908423217,0.5519155263900757,0.4660743772983551,0.010831594467163086
moe_tmlp_no_sparse,2.203280846101757,1.5257877109614526,0.5515609979629517,0.4664432108402252,0.007450580596923828
hre_tmlp_dense_routing,2.2080176423702245,1.5134059478923234,0.5496307611465454,0.4684509038925171,0.00878286361694336
hre_tmlp_no_balance,2.208119622392528,1.513646787720937,0.5495890974998474,0.4684942066669464,0.009505510330200195
hre_tmlp_no_div,2.208169206018447,1.5136075611141209,0.5495688915252686,0.4685152471065521,0.009412527084350586
hre_tmlp,2.208268510385929,1.5136785151235088,0.5495283603668213,0.4685573875904083,0.009732246398925781
lightgbm,2.2099982746457445,1.532165828863351,0.5488223865870974,0.4692917586247348,0.007466793060302734
agpl_cgr_tmlp,2.212460363001651,1.5191700477904746,0.5478165149688721,0.4703379273414612,0.01750779151916504
hre_tmlp_no_alpha,2.2134102234856186,1.5155000526057094,0.5474281907081604,0.4707418978214264,0.008882284164428711
agr_tmlp_no_gate_reg,2.2146880445944603,1.5370059436489925,0.546905517578125,0.4712856411933899,0.006455898284912109
tmlp-sr-pee,2.21566627745731,1.516147291618175,0.5465051531791687,0.47170203924179077,0.0
hlr_tmlp,2.219732099665375,1.5200130352624441,0.5448392629623413,0.47343480587005615,0.014763116836547852
agr_tmlp_gate_from_h_only,2.2203367000550145,1.5033460538295884,0.5445912480354309,0.47369274497032166,0.006672859191894531
cgr_tmlp_stage2,2.2246163073795633,1.517894317776154,0.5428340435028076,0.4755204916000366,0.010118961334228516
pr_tmlp_residual_no_sparse,2.227956895508174,1.5346022564014206,0.5414599776268005,0.4769497215747833,0.008158206939697266
catboost,2.228895478457644,1.5720408174662257,0.5410735594868421,0.4773516902105466,0.0008304119110107422
node,2.247894103918087,1.584018935774445,0.533216655254364,0.4855239987373352,0.027271747589111328
xgboost,2.305255282016168,1.614046230286661,0.5090901851654053,0.5106191635131836,0.0019085407257080078
