model,rmse,mae,r2,loss,time
lightgbm,0.14243295539909648,0.10181069624424327,0.5877516761455182,0.40151018456792126,0.016409635543823242
lgbm_cgr_hybrid,0.14420325211277255,0.10296842369599446,0.5774403214454651,0.41155293583869934,0.0014429092407226562
catboost,0.1446432564413226,0.10486449612682686,0.5748577089090359,0.41406829303159615,0.0025320053100585938
sga_tmlp_lite_topk12,0.1461969135459344,0.1046110943117391,0.5656754970550537,0.42301133275032043,0.017371416091918945
sga_tmlp_lite_topk4,0.14624211831193684,0.10464890367088131,0.5654067993164062,0.4232729971408844,0.017655611038208008
sga_tmlp_lite_no_beta_reg,0.1466953655689337,0.10567263695319795,0.5627087950706482,0.42590072751045227,0.01734161376953125
sga_tmlp_lite_no_corr_reg,0.14680433918383265,0.10575251625837367,0.5620589256286621,0.4265337586402893,0.01705455780029297
sga_tmlp_lite,0.14680793434468434,0.10575474703735921,0.5620374083518982,0.4265546202659607,0.017163753509521484
xgboost,0.14767288646697713,0.10652882734533975,0.5568615198135376,0.43159571290016174,0.005390644073486328
autoint,0.15343448902808993,0.11356934669765906,0.5216079950332642,0.4659309685230255,0.00816202163696289
hre_tmlp_no_alpha,0.15456245606084765,0.11353097461949346,0.5145483613014221,0.4728066921234131,0.014833450317382812
hre_tmlp,0.15456336698210055,0.11353183209610052,0.5145426392555237,0.4728122651576996,0.016681909561157227
hre_tmlp_dense_routing,0.1545635569596532,0.11353196607682037,0.5145414471626282,0.4728134274482727,0.015957117080688477
hre_tmlp_no_div,0.15456369335364956,0.11353406957412204,0.5145405530929565,0.4728142321109772,0.016181468963623047
hre_tmlp_no_balance,0.15456392717164902,0.11353323889365896,0.5145391225814819,0.4728156328201294,0.016389131546020508
adr_tmlp,0.15499261246906773,0.11269213473057249,0.5118424892425537,0.4754420518875122,0.012835264205932617
agr_tmlp_no_err_head,0.15520178612062388,0.11237643596038538,0.5105240345001221,0.4767262041568756,0.009090900421142578
agr_tmlp_softgate,0.1552472738640989,0.11431452066533154,0.5102370977401733,0.47700566053390503,0.011703729629516602
agr_tmlp_gate_from_h_only,0.15529653479325137,0.11209105032806477,0.5099261999130249,0.47730839252471924,0.011004447937011719
sga_tmlp_lite_no_featmix,0.15537287557078225,0.11406314603874534,0.5094442367553711,0.4777778387069702,0.017371416091918945
tmlp-sr-lgr,0.15556563991746547,0.11374482124644913,0.5082262754440308,0.47896403074264526,0.0
tmlp-sr,0.15560916817187784,0.11368474429166753,0.507951021194458,0.47923213243484497,0.0
hre_tmlp_no_global_residual,0.15604347892269893,0.1143088532808818,0.5052005648612976,0.48191094398498535,0.014847993850708008
nr_cgr_tmlp,0.15610249220298753,0.11521066410813319,0.5048262476921082,0.4822756052017212,0.02090740203857422
baseline_tmlp,0.15622642319587093,0.11637723423588398,0.5040396451950073,0.4830416142940521,0.0071353912353515625
agr_tmlp,0.15637443296357864,0.11389096741566362,0.5030995011329651,0.48395732045173645,0.010151863098144531
agr_tmlp_no_res_reg,0.1563744377783843,0.11389096741566362,0.5030994415283203,0.4839573800563812,0.010273218154907227
agr_tmlp_no_gate_reg,0.15637506851664595,0.11389072625036789,0.5030954480171204,0.4839613139629364,0.010483741760253906
scgr_tmlp,0.1564326523865319,0.1140666295374615,0.5027294158935547,0.48431774973869324,0.020051956176757812
agr_tmlp_switch_lite,0.15645721126829662,0.11599032471309556,0.5025732517242432,0.4844698905944824,0.024162769317626953
tmlp-sr-pee,0.1564850525178682,0.11446319907015123,0.5023962259292603,0.48464226722717285,0.0
cgr_tmlp_v3,0.1567530586858398,0.11579488703704754,0.5006903409957886,0.4863037168979645,0.01836848258972168
agr_tmlp_switch_lite_td,0.1568008766151062,0.11603081368663481,0.5003856420516968,0.48660048842430115,0.024518251419067383
ft-transformer,0.15693892266419218,0.11779200364716047,0.49950551986694336,0.48745763301849365,0.0260465145111084
agr_tmlp_switch_hardlite,0.15701829621271712,0.11552534462484942,0.49899911880493164,0.48795086145401,0.02512335777282715
rgc_cgr_tmlp,0.15703041766243775,0.1153915380799333,0.49892181158065796,0.4880261719226837,0.04406142234802246
ggpl_cgr_tmlp,0.15707993902430087,0.11650143436318672,0.49860572814941406,0.488334059715271,0.01845383644104004
cgr_tmlp_v2,0.1572717169400096,0.11696737911261579,0.49738067388534546,0.4895271956920624,0.018549442291259766
dpg_cgr_tmlp,0.1573808734012529,0.11468113210906239,0.49668270349502563,0.4902069866657257,0.018577098846435547
agr_tmlp_rex2_lite,0.15774081774702017,0.11592454017964826,0.4943777918815613,0.49245184659957886,0.018561363220214844
agr_tmlp_rex2_guarded_lite,0.15779727340386296,0.11494366732961225,0.49401581287384033,0.4928044378757477,0.0200197696685791
