model,rmse,mae,r2,loss,time
cgr_tmlp_stage2,0.06690655500716852,0.038970307918172464,0.9954257011413574,0.004476487636566162,0.03264737129211426
scgr_tmlp,0.06840418233410009,0.04026600851023132,0.9952186346054077,0.004679132718592882,0.03930020332336426
ggpl_cgr_tmlp,0.06840531577287688,0.04247034087953905,0.9952185153961182,0.004679287318140268,0.04272127151489258
cgr_tmlp_v3,0.06852413756791087,0.04243035734114886,0.9952018857002258,0.004695557989180088,0.035398244857788086
moe_tmlp_no_sparse,0.06889435957786876,0.04046588894928149,0.9951498508453369,0.004746433347463608,0.023379802703857422
agr_tmlp_switch_lite,0.06984639232892594,0.041464449228975075,0.9950149059295654,0.004878519102931023,0.04535079002380371
dpg_cgr_tmlp,0.07006543430261795,0.044714705216007955,0.9949836134910583,0.004909166134893894,0.03654360771179199
hre_tmlp,0.07153074139905645,0.04810812782596763,0.9947715997695923,0.005116647575050592,0.031801462173461914
qcal_cgr_tmlp,0.07182372041491132,0.048617676727910064,0.994728684425354,0.005158646963536739,0.07563996315002441
excel_cgr_lite,0.07225301240565336,0.041692124057285396,0.9946654438972473,0.00522049842402339,0.03396773338317871
hre_tmlp_no_balance,0.07230052769420497,0.04697142261437026,0.9946584105491638,0.005227366928011179,0.031742095947265625
agsi_tmlp,0.07236804231977975,0.04951106834345631,0.9946484565734863,0.005237134173512459,0.03866219520568848
tmlp-sr-pee,0.07236999841941663,0.051316180001724776,0.9946481585502625,0.005237416829913855,0.0
lar_tmlp,0.07258721479983915,0.039145348122993084,0.9946159720420837,0.005268903914839029,0.03921198844909668
adr_tmlp,0.07267144877408648,0.03461921008710789,0.9946035146713257,0.005281140096485615,0.023702621459960938
pr_tmlp_residual_no_balance,0.07273406406443106,0.044994787425113314,0.994594156742096,0.005290244240313768,0.025323152542114258
agr_tmlp_switch_lite_td,0.07288056632381383,0.04513927280072716,0.9945724010467529,0.005311577580869198,0.047205448150634766
iggpl_cgr_tmlp,0.0731056200020849,0.052916531090942964,0.9945387840270996,0.005344432312995195,0.03788304328918457
agr_tmlp_softgate,0.07318501666320736,0.04697419795547719,0.9945269227027893,0.005356047302484512,0.02225518226623535
sgg_cgr_tmlp,0.07379829244814155,0.051985201121258484,0.9944348335266113,0.005446188617497683,0.04473757743835449
pr_tmlp_residual_no_sep,0.07380221080368336,0.04586494813174302,0.9944342374801636,0.005446767900139093,0.031456708908081055
tmlp-sr,0.07403784462193656,0.04740031526086819,0.9943986535072327,0.005481603555381298,0.0
cgr_tmlp,0.07407778477081212,0.04875477857859245,0.9943925738334656,0.005487518385052681,0.03302264213562012
moe_tmlp,0.07419401807921955,0.047229935393933165,0.9943749904632568,0.00550475250929594,0.028278112411499023
agr_tmlp_rex2_lite,0.07425484779693886,0.05189073894079077,0.9943657517433167,0.005513783078640699,0.03615427017211914
agpl_cgr_tmlp,0.07534454309405189,0.05089165339519641,0.9941991567611694,0.005676800850778818,0.08674860000610352
