model,rmse,mae,r2,loss,time
ggpl_tmlp,0.015361027731606575,0.010357863603819295,0.9897070527076721,0.011632779613137245,0.0026674270629882812
tmlp-sr-lgr,0.016587062168376857,0.012068386180669188,0.9879984259605408,0.013563818298280239,0.0
tmlp,0.017051411647129925,0.012530179377007178,0.9873170852661133,0.0143338767811656,0.009107589721679688
agr_tmlp_gate_from_h_only,0.01728378700705574,0.012673174082213912,0.9869690537452698,0.014727218076586723,0.001886606216430664
agr_tmlp_no_gate_reg,0.017574469176117893,0.012576972029822997,0.9865270256996155,0.015226757153868675,0.0019154548645019531
pr_tmlp_residual_no_balance,0.017776210439691735,0.012873549396101858,0.9862159490585327,0.015578346326947212,0.0023407936096191406
adr_tmlp,0.017804647277220496,0.012434615063789956,0.9861717820167542,0.015628229826688766,0.0024597644805908203
agr_tmlp,0.01781618637980961,0.01288728572489295,0.9861539006233215,0.01564849354326725,0.0019161701202392578
agr_tmlp_no_res_reg,0.01781680136250012,0.012888078389057256,0.9861529469490051,0.015649573877453804,0.001980304718017578
pr_tmlp_residual_no_sparse,0.017887968421591894,0.013004060967133357,0.9860420823097229,0.015774838626384735,0.002718210220336914
hre_tmlp_no_global_residual,0.01795459167059945,0.012910505373143755,0.9859378933906555,0.015892568975687027,0.002919912338256836
agr_tmlp_no_err_head,0.018134213253359142,0.013384767908966033,0.9856551289558411,0.016212143003940582,0.0016193389892578125
baseline_tmlp,0.018330031942036577,0.01324968711184149,0.9853436946868896,0.016564160585403442,0.0027582645416259766
hre_tmlp_no_balance,0.018401902782454554,0.01332863731151046,0.9852285385131836,0.016694307327270508,0.002891063690185547
hre_tmlp,0.01841608368002772,0.01331092280607682,0.9852057695388794,0.01672004908323288,0.0030350685119628906
hre_tmlp_no_div,0.01842569695741479,0.013316696414802376,0.9851902723312378,0.01673750951886177,0.002952098846435547
hre_tmlp_no_alpha,0.018663741605481215,0.013495035240470576,0.984805166721344,0.01717277243733406,0.002637624740600586
ggpl_tmlp_mlphead,0.018715883169424873,0.012802207499054141,0.9847201704978943,0.01726885885000229,0.002742767333984375
moe_tmlp,0.018883979363525972,0.013696646770893217,0.9844444394111633,0.01758044958114624,0.0034873485565185547
excel-former,0.018931000556394736,0.012024155095848865,0.9843668937683105,0.017668109387159348,0.004342079162597656
pr_tmlp_residual_no_sep,0.019191968739971584,0.013889766077344046,0.9839329123497009,0.01815858669579029,0.0023813247680664062
tmlp-sr-pee,0.01943989227607751,0.013881395883330594,0.9835150837898254,0.01863076537847519,0.0
tmlp-sr,0.01969879392083563,0.014002114284921152,0.9830730557441711,0.019130321219563484,0.0
moe_tmlp_no_diversity,0.020024982448376815,0.0144255423234807,0.9825078845024109,0.01976911723613739,0.003558635711669922
ggpl_tmlp_gluhead,0.020209953493820276,0.013735820509787056,0.9821832180023193,0.020136017352342606,0.0031502246856689453
moe_tmlp_no_sparse,0.02119119189955573,0.01569802297840983,0.9804111123085022,0.02213878557085991,0.003731250762939453
pr_tmlp_pure_experts,0.021859946203959403,0.015601577927232269,0.9791552424430847,0.023558150976896286,0.002813577651977539
ft-transformer,0.02216638249097663,0.014118242237817213,0.9785667657852173,0.024223262444138527,0.009640216827392578
node,0.022505432372240532,0.013130944534446298,0.9779060482978821,0.024969952180981636,0.014025211334228516
sga_tmlp_lite,0.02268093593234241,0.017056107118563757,0.9775601029396057,0.025360917672514915,0.0030336380004882812
catboost,0.028724265156610813,0.01938018459734374,0.9640087804751009,0.040676243910981756,0.05118846893310547
lightgbm,0.029741004963893803,0.018984029744214117,0.9614157567152718,0.04360680498432383,0.007752418518066406
ggpl_tmlp_gfg,0.03036549578788709,0.0227589840968645,0.959778368473053,0.04545731469988823,0.007588863372802734
xgboost,0.032547075595657345,0.01992953169225542,0.9537914395332336,0.05222361534833908,0.048459529876708984
mlp,0.032623946683421993,0.021777820786443858,0.9535728693008423,0.05247059464454651,0.00036716461181640625
dcnv2,0.0657044199633796,0.027101779888214494,0.811683714389801,0.21282964944839478,0.0014910697937011719
