model,rmse,mae,r2,loss,time
apar_cgr_tmlp,0.2653191994044755,0.1727197766304016,0.9283579587936401,0.07039429247379303,0.02040719985961914
cgr_tmlp,0.2654411015923034,0.17517906427383423,0.9282920956611633,0.07045897841453552,0.02105236053466797
moe_tmlp,0.26691034621201926,0.17284061014652252,0.927496075630188,0.07124113291501999,0.015916824340820312
ft-transformer,0.2758555174508975,0.1978452354669571,0.9225549101829529,0.07609627395868301,0.02957940101623535
qcal_cgr_tmlp,0.2763233082583103,0.18414470553398132,0.9222919940948486,0.07635458558797836,0.02962327003479004
agr_tmlp_switch_lite_td,0.27637075954325985,0.18373318016529083,0.9222652912139893,0.07638079673051834,0.0317835807800293
agr_tmlp_rex2_guarded_lite,0.2778370727725251,0.17672482132911682,0.9214382767677307,0.07719343900680542,0.026455402374267578
agsi_tmlp,0.28100631011210864,0.18025098741054535,0.9196357727050781,0.07896454632282257,0.024616003036499023
lar_tmlp,0.28142058974039225,0.1781405210494995,0.9193986654281616,0.07919755578041077,0.02639603614807129
dpg_cgr_tmlp,0.2815292217432672,0.17435669898986816,0.9193364381790161,0.07925871014595032,0.023935556411743164
nr_cgr_tmlp,0.2833531738561905,0.19068384170532227,0.9182878136634827,0.08028902858495712,0.025391578674316406
cgr_tmlp_v2,0.28454647448729764,0.18365971744060516,0.9175981283187866,0.08096670359373093,0.024055004119873047
sr_agr_tmlp_lite,0.28464691188922203,0.18044355511665344,0.9175399541854858,0.08102387189865112,0.015017271041870117
cgr_tmlp_v3,0.2850642121072685,0.1733187437057495,0.9172980189323425,0.08126161247491837,0.02282571792602539
rgc_cgr_tmlp,0.2857379597516039,0.1790102869272232,0.9169065952301025,0.08164618909358978,0.03614497184753418
ggpl_cgr_tmlp,0.28606002454663837,0.17867355048656464,0.9167191982269287,0.08183033764362335,0.02401900291442871
hlr_tmlp,0.2874325730203655,0.18029311299324036,0.9159181118011475,0.08261748403310776,0.031877994537353516
agr_tmlp_rex2_lite,0.28938011813735504,0.18125732243061066,0.9147747755050659,0.08374085277318954,0.022529125213623047
agpl_cgr_tmlp,0.2901976180899659,0.1764998435974121,0.9142926335334778,0.08421465009450912,0.04141521453857422
excel-former,0.2916106982119104,0.19757641851902008,0.9134559035301208,0.08503680676221848,0.01553034782409668
sgg_cgr_tmlp,0.2971166956980407,0.17985795438289642,0.9101569056510925,0.08827832341194153,0.027664899826049805
pr_tmlp_pure_experts,0.29780164206486354,0.17848622798919678,0.9097421765327454,0.08868581801652908,0.016947031021118164
iggpl_cgr_tmlp,0.2979436888255043,0.17810052633285522,0.9096560478210449,0.08877044916152954,0.025161266326904297
pr_tmlp_residual_no_balance,0.29797028223612937,0.17902682721614838,0.9096399545669556,0.0887862890958786,0.01693892478942871
ggpl_tmlp_mlphead,0.2980986648899817,0.19310681521892548,0.9095620512962341,0.0888628214597702,0.011170387268066406
